galaxy,log_M_BH,log_sigma,log_M_bul,log_L_bul
Milky Way,6.63,1.6,10.5,10.4
M31,8.18,2.05,11.0,10.9
M32,6.4,1.85,9.2,9.08
M59,8.63,2.34,11.3,11.1
M60,9.35,2.47,11.8,11.6
M81,7.81,2.02,10.9,10.7
M84,8.95,2.41,11.3,11.2
M87,9.79,2.53,12.0,11.9
M89,8.64,2.35,11.5,11.3
M104,8.81,2.36,11.6,11.4
M105,8.24,2.2,11.0,10.8
NGC221,6.4,1.85,9.2,9.08
NGC224,8.18,2.05,11.0,10.9
NGC821,7.74,2.19,11.1,10.9
NGC1023,7.61,2.18,10.8,10.6
NGC1068,6.93,2.02,10.7,10.6
NGC1194,7.89,2.02,10.6,10.4
NGC1271,9.0,2.44,11.3,11.2
NGC1277,9.98,2.51,11.6,11.4
NGC1300,7.15,2.0,10.5,10.3
NGC1316,8.3,2.34,11.4,11.2
NGC1332,8.99,2.47,11.5,11.3
NGC1399,8.85,2.51,11.7,11.6
NGC1407,9.7,2.43,11.7,11.6
NGC1550,9.07,2.41,11.2,11.1
NGC1600,9.78,2.51,12.0,11.9
NGC2549,7.15,2.16,10.6,10.4
NGC2748,7.62,1.93,10.3,10.2
NGC2778,7.15,2.02,10.1,10.0
NGC2787,7.6,2.04,10.3,10.2
NGC2960,7.08,2.0,10.6,10.4
NGC2974,8.23,2.32,11.0,10.8
NGC3079,6.3,2.02,10.6,10.5
NGC3115,8.95,2.37,11.1,10.9
NGC3227,7.67,2.08,10.8,10.6
NGC3245,8.36,2.24,10.9,10.7
NGC3377,8.08,2.02,10.3,10.2
NGC3379,8.08,2.19,10.9,10.7
NGC3384,7.23,2.02,10.5,10.3
NGC3414,8.4,2.35,11.2,11.0
NGC3489,6.78,1.89,10.5,10.3
NGC3585,8.4,2.27,11.3,11.1
NGC3607,8.15,2.32,11.1,10.9
NGC3608,8.66,2.19,10.8,10.6
NGC3842,9.97,2.46,12.0,11.8
NGC3998,8.91,2.42,10.8,10.6
NGC4026,8.26,2.02,10.9,10.7
NGC4151,7.62,1.99,10.7,10.6
NGC4258,7.6,1.93,10.5,10.3
NGC4261,8.73,2.43,11.5,11.4
NGC4291,8.96,2.42,11.2,11.1
NGC4342,8.64,2.34,10.6,10.5
NGC4374,9.1,2.44,11.5,11.3
NGC4382,7.15,2.02,11.3,11.1
NGC4459,7.86,2.01,10.6,10.4
NGC4473,7.95,2.04,10.6,10.4
NGC4486,7.63,2.17,11.6,11.5
NGC4486A,7.15,1.88,9.8,9.7
NGC4486B,8.76,2.02,10.5,10.4
NGC4526,7.8,2.17,11.0,10.8
NGC4564,7.65,2.09,10.6,10.4
NGC4594,8.82,2.36,11.5,11.3
NGC4649,9.68,2.49,11.7,11.5
NGC4697,8.27,2.02,10.8,10.6
NGC4736,6.76,1.89,10.3,10.2
NGC4742,7.15,1.94,10.3,10.2
NGC4751,8.23,2.22,11.0,10.8
NGC4762,6.76,2.0,10.9,10.8
NGC4889,9.91,2.54,12.2,12.0
NGC4945,6.04,1.93,9.0,8.9
NGC5077,8.85,2.38,11.4,11.2
NGC5128,7.7,2.02,11.1,10.9
NGC5252,7.57,2.04,10.7,10.5
NGC5328,8.51,2.41,11.1,11.0
NGC5419,9.22,2.54,11.9,11.8
NGC5490,9.15,2.42,11.7,11.5
NGC5516,8.57,2.43,11.3,11.2
NGC5576,8.2,2.22,10.9,10.8
NGC5813,8.86,2.37,11.6,11.5
NGC5845,8.53,2.35,10.5,10.3
NGC5846,9.08,2.37,11.7,11.5
NGC6086,9.15,2.43,11.3,11.1
NGC6251,8.81,2.42,11.4,11.3
NGC6323,7.78,2.07,10.7,10.6
NGC7052,8.58,2.44,11.3,11.1
NGC7457,6.45,1.72,9.8,9.7
NGC7582,7.76,2.02,10.8,10.6
NGC7619,8.99,2.45,11.7,11.6
NGC7768,9.11,2.42,11.6,11.5
CygA,9.4,2.59,11.9,11.7
IC1459,9.4,2.51,11.5,11.4
IC4296,9.2,2.51,11.6,11.5
