galaxy,logM,e_logM,logS,e_logS,logMb,logL,method
Circinus,6.06,0.1,1.7,0.05,9.7,9.0,M
Cygnus A,9.4,0.11,2.59,0.03,11.9,11.7,GD
IC 1459,9.37,0.15,2.51,0.02,11.5,11.4,SD
M31,8.18,0.12,2.05,0.03,11.0,10.9,SD
M32,6.4,0.2,1.84,0.03,9.21,9.1,SD
M59,8.63,0.06,2.34,0.02,11.28,11.1,SD
M60,9.35,0.06,2.47,0.02,11.82,11.63,SD
M81,7.81,0.07,2.02,0.05,10.95,10.7,SD
M84,8.95,0.06,2.41,0.02,11.28,11.2,SD
M87,9.79,0.06,2.53,0.02,11.98,11.9,SD
M89,8.64,0.06,2.35,0.03,11.47,11.31,SD
M104,8.81,0.15,2.36,0.04,11.6,11.4,SD
M105,8.24,0.06,2.2,0.03,10.9,10.7,SD
Milky Way,6.63,0.04,1.6,0.02,10.48,10.4,SD
NGC 524,8.94,0.06,2.33,0.02,11.29,11.1,SD
NGC 821,7.74,0.15,2.19,0.03,11.04,10.9,SD
NGC 1023,7.61,0.09,2.18,0.01,10.85,10.61,SD
NGC 1068,6.93,0.04,2.02,0.02,10.7,10.62,M
NGC 1194,7.89,0.2,2.02,0.01,10.59,10.4,M
NGC 1271,8.98,0.2,2.44,0.02,11.3,11.2,SD
NGC 1277,9.98,0.3,2.51,0.02,11.6,11.41,SD
NGC 1300,7.15,0.18,2.0,0.1,10.5,10.3,GD
NGC 1316,8.3,0.25,2.34,0.02,11.42,11.2,SD
NGC 1332,8.99,0.18,2.47,0.02,11.53,11.3,SD
NGC 1399,8.85,0.15,2.51,0.02,11.7,11.57,SD
NGC 1407,9.7,0.15,2.43,0.02,11.7,11.6,SD
NGC 1550,9.07,0.2,2.41,0.03,11.23,11.09,SD
NGC 1600,9.78,0.2,2.51,0.04,12.0,11.9,SD
NGC 2549,7.15,0.18,2.16,0.01,10.6,10.4,SD
NGC 2748,7.62,0.2,1.93,0.09,10.3,10.2,GD
NGC 2778,7.15,0.2,2.02,0.05,10.1,10.01,SD
NGC 2787,7.6,0.15,2.04,0.05,10.3,10.19,GD
NGC 2960,7.08,0.2,2.0,0.1,10.63,10.4,GD
NGC 2974,8.23,0.08,2.32,0.01,10.98,10.82,SD
NGC 3079,6.3,0.07,2.02,0.02,10.6,10.5,M
NGC 3115,8.95,0.08,2.37,0.03,11.15,10.9,SD
NGC 3227,7.67,0.1,2.08,0.01,10.8,10.6,SD
NGC 3245,8.36,0.08,2.24,0.03,10.95,10.7,GD
NGC 3377,8.08,0.08,2.02,0.02,10.35,10.19,SD
NGC 3384,7.23,0.11,2.02,0.02,10.52,10.3,SD
NGC 3414,8.4,0.07,2.35,0.02,11.19,11.0,SD
NGC 3489,6.78,0.06,1.88,0.02,10.47,10.3,SD
NGC 3585,8.4,0.08,2.26,0.02,11.3,11.1,SD
NGC 3607,8.15,0.09,2.32,0.02,11.09,10.9,SD
NGC 3608,8.66,0.09,2.19,0.02,10.8,10.6,SD
NGC 3842,9.97,0.16,2.46,0.02,11.89,11.8,SD
NGC 3998,8.91,0.1,2.42,0.02,10.8,10.6,SD
NGC 4026,8.26,0.1,2.02,0.02,10.89,10.7,SD
NGC 4151,7.62,0.1,1.99,0.01,10.65,10.6,SD
NGC 4258,7.6,0.01,1.93,0.02,10.5,10.3,M
NGC 4261,8.73,0.09,2.43,0.02,11.55,11.4,SD
NGC 4291,8.96,0.12,2.42,0.02,11.2,11.1,SD
NGC 4342,8.64,0.15,2.34,0.02,10.59,10.47,SD
NGC 4459,7.86,0.09,2.01,0.01,10.62,10.4,SD
NGC 4473,7.95,0.15,2.04,0.01,10.61,10.4,SD
NGC 4486A,7.15,0.08,1.88,0.02,9.8,9.7,SD
NGC 4486B,8.76,0.15,2.02,0.02,10.5,10.42,SD
NGC 4526,8.65,0.06,2.22,0.01,10.8,10.6,GD
NGC 4564,7.65,0.1,2.09,0.02,10.65,10.4,SD
NGC 4697,8.27,0.08,2.02,0.01,10.82,10.62,SD
NGC 4736,6.76,0.05,1.89,0.03,10.34,10.18,SD
NGC 4742,7.15,0.12,1.94,0.11,10.3,10.19,SD
NGC 4751,8.23,0.17,2.22,0.07,11.05,10.8,SD
NGC 4762,6.76,0.12,2.0,0.02,10.94,10.83,SD
NGC 4889,9.91,0.19,2.54,0.02,12.2,12.0,SD
NGC 4945,6.04,0.07,1.93,0.07,9.0,8.9,M
NGC 5077,8.85,0.1,2.38,0.02,11.39,11.2,SD
NGC 5128,7.7,0.15,2.02,0.02,11.1,10.9,GD
NGC 5252,7.57,0.12,2.04,0.04,10.7,10.52,GD
NGC 5328,8.51,0.24,2.41,0.02,11.1,11.0,SD
NGC 5419,9.22,0.23,2.54,0.03,11.9,11.8,SD
NGC 5490,9.15,0.15,2.42,0.03,11.7,11.5,SD
NGC 5516,8.57,0.24,2.43,0.03,11.3,11.2,SD
NGC 5576,8.2,0.14,2.22,0.02,10.94,10.8,SD
NGC 5813,8.85,0.18,2.37,0.02,11.59,11.5,SD
NGC 5845,8.53,0.14,2.35,0.02,10.48,10.3,SD
NGC 5846,9.08,0.21,2.37,0.03,11.69,11.5,SD
NGC 6086,9.15,0.11,2.43,0.02,11.29,11.1,SD
NGC 6251,8.81,0.18,2.42,0.02,11.4,11.3,GD
NGC 6323,7.78,0.08,2.07,0.05,10.72,10.55,M
NGC 7052,8.58,0.17,2.44,0.02,11.32,11.1,GD
NGC 7457,6.45,0.14,1.72,0.03,9.83,9.7,SD
NGC 7582,7.76,0.1,2.02,0.05,10.81,10.6,GD
NGC 7619,8.99,0.12,2.45,0.02,11.68,11.56,SD
NGC 7768,9.11,0.19,2.42,0.03,11.6,11.5,SD
UGC 1841,7.25,0.12,2.13,0.02,10.51,10.3,M
UGC 3789,7.11,0.12,2.0,0.04,10.5,10.3,M
