log_gbar,log_gobs
-1.197517983633481364e+01,-1.166354494389897845e+01
-1.170386231374715891e+01,-1.144679325642422363e+01
-1.143972044340388017e+01,-1.128801843273132732e+01
-1.118076177649714431e+01,-1.109024372692532090e+01
-1.092781816305497244e+01,-1.090406895821807254e+01
-1.067948666099991861e+01,-1.066179806465467550e+01
-1.054954684088010275e+01,-1.069960676604866023e+01
-1.043124367182837098e+01,-1.040052845834653539e+01
-1.029854226135347695e+01,-1.042406271570101772e+01
-1.018891780049929352e+01,-1.012442520992273920e+01
-9.980311802819558764e+00,-9.942748929809420488e+00
-9.838525776804045719e+00,-9.576410223994686888e+00
