group,species,mass_g,rmax_day
prokaryote,Alteromonas haloplanktis,1e-12,5.56
prokaryote,Azospirillum brasilense,1e-12,6.18
prokaryote,Azospirillum lipoferum,4e-12,3.85
prokaryote,Azotobacter chroococcum,1.2e-11,13.88
prokaryote,Bacillus cereus,3.7e-12,25.02
prokaryote,Bacillus licheniformis,8e-13,4.09
prokaryote,Bacillus macerans,1e-12,2.35
prokaryote,Bacillus subtilis,1.1e-12,15.61
prokaryote,Bdellovibrio bacteriovorus,5e-13,5.36
prokaryote,Corynebacterium glutamicum,6.19e-13,6.25
prokaryote,Desulfovibrio propionicus,1.8e-12,1.71
prokaryote,Escherichia coli,1.2e-12,36.02
prokaryote,Lactobacillus bulgaricus,1.3e-12,12.17
prokaryote,Lactobacillus casei,1.9e-12,11.85
prokaryote,Lactobacillus plantarum,3.8e-12,4.69
prokaryote,Lactococcus lactis,2e-13,10.72
prokaryote,Leptospira biflexa,4.07e-13,1.29
prokaryote,Mycoplasma capricolum,6e-14,2.92
prokaryote,Mycoplasma gallisepticum,2.6e-13,4.43
prokaryote,Mycoplasma pneumoniae,4e-14,0.74
prokaryote,Mycoplasma pulmonis UAB CTIP,6.54e-14,2.22
prokaryote,Neisseria gonorrhoeae,2e-13,3.88
prokaryote,Neisseria meningitidis,3e-13,4.43
prokaryote,Pseudomonas aeruginosa,6e-13,8.86
prokaryote,Pseudomonas fluorescens,1.2e-12,13.15
prokaryote,Pseudomonas natriegens,1e-12,27.13
prokaryote,Pseudomonas perfectomarinus,1.7e-12,3.75
prokaryote,Pseudomonas putida,1.9e-12,10.93
prokaryote,Rhizobium leguminosarum,6e-13,2.07
prokaryote,Staphylococcus epidermidis,5e-13,5.96
prokaryote,Streptococcus agalactiae,3e-13,2.46
prokaryote,Streptococcus faecalis,1e-12,11.81
prokaryote,Streptococcus pneumoniae,2.5e-13,8.86
prokaryote,Streptococcus pyogenes,1.8e-13,16.68
prokaryote,Streptococcus thermophilus,2.6e-13,7.18
prokaryote,Vibrio anguillarum,2.6e-12,9.1
protist,Actinomonas mirabilis,7.5e-11,5.76
protist,Amoeba algonquinensis,8.6e-09,0.57
protist,Amphidinium sp.,2.6e-09,0.85
protist,Arcella vulgaris,2.72e-07,0.47
protist,Aspidisca angulata,3.8e-09,3.7
protist,Aspidisca sp,7.1e-09,0.98
protist,Balanion comatum,2.3e-09,4.0
protist,Balanion planctonicum,2.26e-09,2.58
protist,Bodo designis,5.4e-11,3.84
protist,Bodo saliens,9e-11,0.8
protist,Bodo saltans,7.4e-11,4.8
protist,Bursaridium difficile,1.52e-07,0.85
protist,Caecitellus parvulus,4.8e-11,1.9
protist,Cafeteria roenbergensis,1.48e-10,1.27
protist,Chilodonella uncinata,6.17e-09,1.92
protist,Clydonella rosenfieldi,4.66e-10,1.34
protist,Cochliopodium minus,3.25e-09,1.6
protist,Colpidium campylum,2.15e-08,1.33
protist,Condylostoma arenarium,1.76e-06,0.39
protist,Condylostoma patulum,5.48e-07,0.37
protist,Cyclidium glaucoma,2.44e-09,2.37
protist,Cyclidium sp.,8.87e-10,3.84
protist,Dactylamoeba sp.,2.59e-09,0.49
protist,Diophrys scutum,1.49e-07,0.93
protist,Entosiphon sulcatum,1.08e-09,3.12
protist,Euplotes antarcticus,2.6e-07,1.03
protist,Euplotes balteatus,1.2e-08,3.63
protist,Euplotes crassus,1.39e-07,1.96
protist,Euplotes eurystomus,2.6e-07,0.45
protist,Euplotes focardii,2.6e-07,0.93
protist,Euplotes harpa,1.96e-07,0.46
protist,Euplotes minuta,8.3e-08,2.31
protist,Euplotes sp.,2.6e-07,0.51
protist,Euplotes trisulcatus,9.97e-08,0.53
protist,Euplotes vannus,1.9e-07,1.74
protist,Euplotes woodruffii,2.6e-07,0.67
protist,Fabrea salina,1.02e-06,0.71
protist,Favella azorica,1.02e-07,2.4
protist,Favella ehrenbergii,1.02e-07,0.79
protist,Favella sp.,1.02e-07,1.55
protist,Favella taraikaensis,1.02e-07,2.6
protist,Glaseria mira,4.17e-10,3.65
protist,Gymnodinium sp.,1.68e-10,1.64
protist,Gyrodinium dominans,2.51e-08,1.67
protist,Gyrodinium fusiforme,2.4e-08,0.84
protist,Halteria sp.,1.06e-08,1.37
protist,Holosticha sp,1.17e-07,0.85
protist,Hymenostome ciliate,1.9e-08,4.25
protist,Jakoba libera,3.5e-11,0.62
protist,Katodinium glaucum,2.4e-08,0.28
protist,Keronopsis rubra,7.11e-08,0.51
protist,Lacrymaria marina,5.7e-09,0.65
protist,Litonotus lamella,5.7e-09,1.41
protist,Lohmanniella spiralis,1.5e-07,2.09
protist,Loxocephalus plagius,3.31e-08,1.19
protist,Mayorella sp.,5.58e-09,1.35
protist,Metachaos sp.,1.15e-08,1.23
protist,Monas sp.,3.4e-11,3.66
protist,Monosiga ovata,6.2e-11,1.75
protist,Monosiga sp,2e-11,2.88
protist,Ochromonas sp.,1.56e-10,4.32
protist,Oxyrrhis marina,1.4e-09,1.32
protist,Paraflabellula reniformis,4.51e-10,1.4
protist,Paramecium aurelia,2.33e-07,0.96
protist,Paramecium bursaria,2.18e-07,0.82
protist,Paraphysomonas bandaiensis,7e-11,1.42
protist,Paraphysomonas imperforata,2.6e-10,6.0
protist,Paraphysomonas imperforata (arctic)*,2.74e-10,5.2
protist,Paraphysomonas imperforata (newfoundland)*,2.04e-10,4.15
protist,Paraphysomonas sp.,1.8e-10,6.49
protist,Paraphysomonas vestita,2.9e-10,5.04
protist,Paratetrahymena wassi,2.6e-08,0.86
protist,Parauronema acutum,3.64e-09,3.09
protist,Pelagostrombidium fallax,5e-08,0.86
protist,Pfiesteria piscicida,2.5e-10,0.61
protist,Platyamoeba australis,2.41e-10,1.94
protist,Platyamoeba sp,3.53e-11,1.9
protist,Pseudobalanion planctonicum,1.8e-09,2.13
protist,Pseudobodo tremulans,9e-11,3.12
protist,Pteridomonas danica,4.8e-11,3.02
protist,Rhizamoeba sp.,1.8e-10,0.59
protist,Rimostrombidium caudatum,4.2e-08,0.93
protist,Rimostrombidium veniliae,4.2e-08,1.61
protist,Saccamoeba limax,4.79e-09,2.2
protist,Scuticociliate,3.7e-09,8.26
protist,Spirostomum teres,2.15e-07,0.27
protist,Spumella sp.,6.3e-11,4.8
protist,Stentor polymorphus,1.85e-06,0.4
protist,Stephanoeca diplocostata,7.5e-11,1.27
protist,Stereomyxa ramosa,8.57e-10,0.59
protist,Strobilidium gyrans,4.2e-08,0.87
protist,Strobilidium lacustris,1.13e-07,1.56
protist,Strobilidium neptuni,1.1e-07,2.09
protist,Strobilidium veniliae,1.96e-08,1.01
protist,Strombidinopsis acuminatum,1.4e-07,1.39
protist,Strombidinopsis sp.,1.4e-07,0.95
protist,Strombidium capitatum,6.41e-08,1.16
protist,Strombidium reticulatum,4e-08,1.69
protist,Strombidium sp.,2.5e-08,0.81
protist,Strombidium sulcatum,7.01e-09,2.4
protist,Tetrahymena pyriformis,8.59e-09,2.05
protist,Tetryhymena pyriformis,1.93e-08,3.84
protist,UnID chrysomonad,1.8e-10,2.94
protist,UNID kinetoplastid,9e-11,0.67
protist,Unidentified amoeba,7.2e-11,3.39
protist,Uronema elegans,7.21e-09,2.66
protist,Uronema marina,4.5e-10,6.8
protist,Uronema marinum,3.59e-09,7.08
protist,Uronema nigricans,3.6e-09,3.82
protist,Uronema sp.,3.24e-09,3.8
protist,Urotricha castalia,9.75e-09,1.28
protist,Urotricha farcta,6.82e-09,3.59
protist,Urotricha furcata,9.05e-09,1.69
protist,Vahlkampfia baltica,3.78e-10,1.08
protist,Vahlkampfia damariscottae,8.75e-11,1.88
protist,Vanella sp.,7.9e-09,1.5
protist,Vannella caledonica,4.02e-10,1.61
protist,Vannella sp.,7.47e-11,1.37
protist,Vexillifera bacillipedes,3.15e-10,2.89
protist,Vorticella microstoma,2.15e-08,2.61
protist,Vorticella similis,2.4e-08,2.26
metazoan,Ceriodaphnia dubia,33.6,0.2
metazoan,Chydorus sphaericus,30.0,0.22
metazoan,Daphnia magna,885.0,0.24
metazoan,Etheostoma flabellare,1230000.0,0.01
metazoan,Etheostoma spectabile,538000.0,0.02
metazoan,Eurycercus longirostris,71.4,0.17
metazoan,Eurycercus vernalis,70.0,0.14
metazoan,Filinia pejleri,0.25,0.26
metazoan,Filinia terminalis,0.25,0.3
metazoan,Gadus morhua,15000000000.0,0.0
metazoan,Gobio gobio,9230000.0,0.01
metazoan,Hippoglossoides platessoides,277000000.0,0.01
metazoan,Leuciscus leuciscus,13800000.0,0.01
metazoan,Pimephales promelas,1770000.0,0.02
metazoan,Pleuroxus denticulatis,22.7,0.15
