group,state,species,mass_g,metabolic_rate_W
protist,endogenous,Acanthamoeba castellani,6.7e-09,2.55e-11
protist,active,Acanthamoeba castellanii,2.95e-09,8.85e-11
protist,endogenous,Acanthamoeba sp.,4.32e-09,2.29e-11
protist,active,Acanthamoeba palestinensis,6.76e-09,3.75e-11
protist,endogenous,Actinosphaerium eichhornii,1.46e-05,5.82e-09
protist,active,Acanthamoeba rhysodes,5e-09,4.18e-11
protist,endogenous,Amoeba proteus,9e-07,9e-10
protist,active,Ammonia sp.,6.54e-06,9.86e-08
protist,endogenous,Astasia klebsii,3.8e-09,6.84e-12
protist,active,Amoeba proteus,9.55e-07,3.9e-09
protist,endogenous,Astasia longa,1.35e-08,3.92e-11
protist,active,Amoeba sp.,2.12e-08,2.22e-11
protist,endogenous,Bresslaua insidiatrix,1.7e-08,3.69e-10
protist,active,Astasia klebsii,3.75e-09,1.05e-11
protist,endogenous,Chilomonas paramecium,2.26e-09,3.62e-11
protist,active,Astasia longa,2.47e-09,6.07e-11
protist,endogenous,Coleps hirtus,9.1e-08,3.82e-10
protist,active,Blepharisma americanum,2.5e-07,3.38e-08
protist,endogenous,Colpidium campylum,5.44e-08,5.88e-10
protist,active,Bolivina pacifica,1.09e-06,1.73e-08
protist,endogenous,Crithida fasciculata,2.08e-09,1.52e-11
protist,active,Bolivina spissa,4e-06,5.96e-08
protist,endogenous,Crithidia oncopelti,3e-11,1.35e-13
protist,active,Bresslaua insidiatrix,2.4e-08,1.07e-09
protist,endogenous,Dictyostelium discodeum,8.4e-10,4.12e-12
protist,active,Bulimina subornata,1.71e-06,3.84e-08
protist,endogenous,Eimeria acervulina,2.64e-09,5.28e-12
protist,active,Buliminella sp.,6.6e-07,1.55e-07
protist,endogenous,Eimeria stiedae,7.98e-09,2e-11
protist,active,Chaos carolinense,3.02e-05,3.37e-08
protist,endogenous,Eimeria tenella,5.44e-09,1.25e-11
protist,active,Chaos carolinensis,3.5e-05,3.18e-08
protist,endogenous,Endotrypanum schaudinni,1.14e-10,9.58e-14
protist,active,Chilomonas paramecium,5.14e-09,1.02e-10
protist,endogenous,Entamoeba hystolitica,8.6e-09,3.44e-12
protist,active,Chilostomella ovoidea,1.44e-05,2.5e-08
protist,endogenous,Frontonia leucas,7.45e-07,2.98e-10
protist,active,Cibicidoides woellerstorfi,6.89e-06,1.9e-07
protist,endogenous,Leishmania brasiliensis,9e-12,1.8e-13
protist,active,Colpidium campylum,4.3e-08,6.44e-10
protist,endogenous,Leishmania donovani,1.8e-11,1.67e-13
protist,active,Colpoda cucullus,4.5e-08,4.58e-10
protist,endogenous,Leishmania enrietti,1.2e-11,8.4e-14
protist,active,Corythion dubium,6.54e-08,1.52e-10
protist,endogenous,Mayorella palestinensis,8.3e-09,3.07e-11
protist,active,Didinium nasutum,7.35e-07,1.08e-08
protist,endogenous,Noctiluca miliaris,0.000224,3.14e-07
protist,active,Elphidium sp.,1.19e-06,1.24e-07
protist,endogenous,Paramecium aurelia,1.6e-07,4.64e-10
protist,active,Entamoeba hystolitica,8.6e-06,1.66e-07
protist,endogenous,Paramecium calkinsi,1.57e-07,5.34e-10
