group,species,mass_g,rmax_day
prokaryote,Alteromonas haloplanktis,1e-12,5.56
prokaryote,Azospirillum brasilense,1e-12,6.18
prokaryote,Azospirillum lipoferum,4e-12,3.85
prokaryote,Azotobacter chroococcum,1.2e-11,13.88
prokaryote,Bacillus cereus,3.7e-12,25.02
prokaryote,Bacillus licheniformis,8e-13,4.09
prokaryote,Bacillus macerans,1e-12,2.35
prokaryote,Bacillus subtilis,1.1e-12,15.61
prokaryote,Bdellovibrio bacteriovorus,5e-13,5.36
prokaryote,Corynebacterium glutamicum,6.19e-13,6.25
prokaryote,Desulfovibrio propionicus,1.8e-12,1.71
prokaryote,Escherichia coli,1.2e-12,36.02
prokaryote,Lactobacillus bulgaricus,1.3e-12,12.17
prokaryote,Lactobacillus casei,1.9e-12,11.85
prokaryote,Lactobacillus plantarum,3.8e-12,4.69
prokaryote,Lactococcus lactis,2e-13,10.72
prokaryote,Leptospira biflexa,4.07e-13,1.29
prokaryote,Mycoplasma capricolum,6e-14,2.92
prokaryote,Mycoplasma gallisepticum,2.6e-13,4.43
prokaryote,Mycoplasma pneumoniae,4e-14,0.74
prokaryote,Mycoplasma pulmonis UAB CTIP,6.54e-14,2.22
prokaryote,Neisseria gonorrhoeae,2e-13,3.88
prokaryote,Neisseria meningitidis,3e-13,4.43
prokaryote,Pseudomonas aeruginosa,6e-13,8.86
prokaryote,Pseudomonas fluorescens,1.2e-12,13.15
prokaryote,Pseudomonas natriegens,1e-12,27.13
prokaryote,Pseudomonas perfectomarinus,1.7e-12,3.75
prokaryote,Pseudomonas putida,1.9e-12,10.93
prokaryote,Rhizobium leguminosarum,6e-13,2.07
prokaryote,Staphylococcus epidermidis,5e-13,5.96
prokaryote,Streptococcus agalactiae,3e-13,2.46
prokaryote,Streptococcus faecalis,1e-12,11.81
prokaryote,Streptococcus pneumoniae,2.5e-13,8.86
prokaryote,Streptococcus pyogenes,1.8e-13,16.68
prokaryote,Streptococcus thermophilus,2.6e-13,7.18
prokaryote,Vibrio anguillarum,2.6e-12,9.1
