Class,Domain,Family,Genus,Kingdom,Mean_Carbon_Mass,Mean_Dry_Mass,Mean_Mass,Mean_Mass_Specific,Mean_Mass_Specific_25,Mean_Mass_Specific_Carbon,Mean_Mass_Specific_Carbon_25,Mean_Mass_Specific_Dry,Mean_Mass_Specific_Dry_25,Mean_Metabolic_Rate,Mean_Metabolic_Rate_25,Number,Order,Phylum,Rate,Species,Type,index
Amphibia,Eukaryota,Alytidae,Discoglossus,Animalia,15.2,30.4,101.0,7.22e-05,0.000159406,0.000479605,0.001059211,0.000239803,0.000529605,0.00729,0.0161,1,Anura,Chordata,Basal,Discoglossus pictus,Amphibians,0
Amphibia,Eukaryota,Alytidae,Discoglossus,Animalia,4.65,9.3,31.0,0.001464516,0.002177419,0.009763441,0.014516129,0.00488172,0.007258065,0.0454,0.0675,2,Anura,Chordata,Maximum,Discoglossus pictus,Amphibians,1
Amphibia,Eukaryota,Aromobatidae,Mannophryne,Animalia,0.765,1.53,5.1,0.000639216,0.000639216,0.004261438,0.004261438,0.002130719,0.002130719,0.00326,0.00326,3,Anura,Chordata,Basal,Mannophryne trinitatis,Amphibians,2
Amphibia,Eukaryota,Bombinatoridae,Bombina,Animalia,0.39,0.78,2.6,0.000311154,0.000461538,0.002074359,0.003076923,0.001037179,0.001538462,0.000809,0.0012,4,Anura,Chordata,Basal,Bombina orientalis,Amphibians,3
Amphibia,Eukaryota,Bombinatoridae,Bombina,Animalia,0.45,0.9,3.0,0.002276667,0.0034,0.015177778,0.022666667,0.007588889,0.011333333,0.00683,0.0102,5,Anura,Chordata,Maximum,Bombina orientalis,Amphibians,4
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,7.5,15.0,50.0,0.000154,0.00023,0.001026667,0.001533333,0.000513333,0.000766667,0.0077,0.0115,6,Anura,Chordata,Basal,Anaxyrus americanus,Amphibians,5
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,4.5,9.0,30.0,0.0062,0.0092,0.041333333,0.061333333,0.020666667,0.030666667,0.186,0.276,7,Anura,Chordata,Maximum,Anaxyrus americanus,Amphibians,6
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,8.67,17.3,57.8,0.000101038,0.00015,0.000673587,0.001,0.000337572,0.000501156,0.00584,0.00867,8,Anura,Chordata,Basal,Anaxyrus boreas,Amphibians,7
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,5.4,10.8,36.0,0.005551064,0.006164681,0.037007092,0.041097872,0.018503546,0.020548936,0.1795,0.2145,9,Anura,Chordata,Maximum,Anaxyrus boreas,Amphibians,8
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,8.7,17.4,58.0,0.004206897,0.006241379,0.028045977,0.041609195,0.014022989,0.020804598,0.244,0.362,10,Anura,Chordata,Maximum,Anaxyrus boreas halophilus,Amphibians,9
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,6.03,12.1,40.2,0.00040796,0.00040796,0.002719735,0.002719735,0.001355372,0.001355372,0.0164,0.0164,11,Anura,Chordata,Basal,Anaxyrus cognatus,Amphibians,10
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,6.0,12.0,40.0,0.006425,0.009575,0.042833333,0.063833333,0.021416667,0.031916667,0.257,0.383,12,Anura,Chordata,Maximum,Anaxyrus cognatus,Amphibians,11
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,0.099,0.198,0.66,0.000710606,0.001575758,0.004737374,0.010505051,0.002368687,0.005252525,0.000469,0.00104,13,Anura,Chordata,Basal,Anaxyrus debilis,Amphibians,12
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,1.5,3.0,10.0,0.0109,0.0101,0.072666667,0.067333333,0.036333333,0.033666667,0.109,0.101,14,Anura,Chordata,Maximum,Anaxyrus retiformis,Amphibians,13
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,2.97,5.94,19.8,0.000631313,0.000631313,0.004208754,0.004208754,0.002104377,0.002104377,0.0125,0.0125,15,Anura,Chordata,Basal,Anaxyrus terrestris,Amphibians,14
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,8.45,16.9,56.3,0.000220249,0.000220249,0.001467456,0.001467456,0.000733728,0.000733728,0.0124,0.0124,16,Anura,Chordata,Basal,Anaxyrus woodhousii,Amphibians,15
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,10.7,21.3,71.0,0.007056338,0.010492958,0.04682243,0.069626168,0.023521127,0.034976526,0.501,0.745,17,Anura,Chordata,Maximum,Anaxyrus woodhousii,Amphibians,16
Amphibia,Eukaryota,Bufonidae,Bufo,Animalia,11.4,22.8,76.1,0.000207622,0.000459921,0.001385965,0.003070175,0.000692982,0.001535088,0.0158,0.035,18,Anura,Chordata,Basal,Bufo bufo,Amphibians,17
Amphibia,Eukaryota,Bufonidae,Bufotes,Animalia,5.25,10.5,35.0,0.000139143,0.000207143,0.000927619,0.001380952,0.00046381,0.000690476,0.00487,0.00725,19,Anura,Chordata,Basal,Bufotes viridis,Amphibians,18
Amphibia,Eukaryota,Bufonidae,Epidalea,Animalia,1.31,2.61,8.7,0.000321839,0.00047931,0.002137405,0.003183206,0.001072797,0.001597701,0.0028,0.00417,20,Anura,Chordata,Basal,Epidalea calamita,Amphibians,19
Amphibia,Eukaryota,Bufonidae,Epidalea,Animalia,1.35,2.7,9.0,0.004188889,0.006222222,0.027925926,0.041481481,0.013962963,0.020740741,0.0377,0.056,21,Anura,Chordata,Maximum,Epidalea calamita,Amphibians,20
Amphibia,Eukaryota,Bufonidae,Incilius,Animalia,22.6,45.2,151.0,0.000436424,0.000966887,0.002915929,0.006460177,0.001457965,0.003230088,0.0659,0.146,22,Anura,Chordata,Basal,Incilius alvarius,Amphibians,21
Amphibia,Eukaryota,Bufonidae,Incilius,Animalia,26.1,52.2,174.0,0.007413793,0.00683908,0.049425287,0.04559387,0.024712644,0.022796935,1.29,1.19,23,Anura,Chordata,Maximum,Incilius alvarius,Amphibians,22
Amphibia,Eukaryota,Bufonidae,Rhinella,Animalia,21.8,43.5,145.0,5.9e-05,0.000130345,0.000392661,0.000866972,0.000196782,0.000434483,0.00856,0.0189,24,Anura,Chordata,Basal,Rhinella marina,Amphibians,23
Amphibia,Eukaryota,Bufonidae,Rhinella,Animalia,39.9,79.8,266.0,0.007932331,0.007932331,0.052882206,0.052882206,0.026441103,0.026441103,2.11,2.11,25,Anura,Chordata,Maximum,Rhinella marina,Amphibians,24
