Class,Domain,Family,Genus,Kingdom,Mean_Carbon_Mass,Mean_Dry_Mass,Mean_Mass,Mean_Mass_Specific,Mean_Mass_Specific_25,Mean_Mass_Specific_Carbon,Mean_Mass_Specific_Carbon_25,Mean_Mass_Specific_Dry,Mean_Mass_Specific_Dry_25,Mean_Metabolic_Rate,Mean_Metabolic_Rate_25,Number,Order,Phylum,Rate,Species,Type,index
Amphibia,Eukaryota,Alytidae,Discoglossus,Animalia,,,,,,,,,,,,1,Anura,Chordata,Basal,Discoglossus pictus,Amphibians,0
Amphibia,Eukaryota,Alytidae,Discoglossus,Animalia,,,,,,,,,,,,2,Anura,Chordata,Maximum,Discoglossus pictus,Amphibians,1
Amphibia,Eukaryota,Aromobatidae,Mannophryne,Animalia,,,,,,,,,,,,3,Anura,Chordata,Basal,Mannophryne trinitatis,Amphibians,2
Amphibia,Eukaryota,Bombinatoridae,Bombina,Animalia,,,,,,,,,,,,4,Anura,Chordata,Basal,Bombina orientalis,Amphibians,3
Amphibia,Eukaryota,Bombinatoridae,Bombina,Animalia,,,,,,,,,,,,5,Anura,Chordata,Maximum,Bombina orientalis,Amphibians,4
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,6,Anura,Chordata,Basal,Anaxyrus americanus,Amphibians,5
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,7,Anura,Chordata,Maximum,Anaxyrus americanus,Amphibians,6
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,8,Anura,Chordata,Basal,Anaxyrus boreas,Amphibians,7
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,9,Anura,Chordata,Maximum,Anaxyrus boreas,Amphibians,8
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,10,Anura,Chordata,Maximum,Anaxyrus boreas halophilus,Amphibians,9
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,11,Anura,Chordata,Basal,Anaxyrus cognatus,Amphibians,10
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,12,Anura,Chordata,Maximum,Anaxyrus cognatus,Amphibians,11
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,13,Anura,Chordata,Basal,Anaxyrus debilis,Amphibians,12
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,14,Anura,Chordata,Maximum,Anaxyrus retiformis,Amphibians,13
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,15,Anura,Chordata,Basal,Anaxyrus terrestris,Amphibians,14
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,16,Anura,Chordata,Basal,Anaxyrus woodhousii,Amphibians,15
Amphibia,Eukaryota,Bufonidae,Anaxyrus,Animalia,,,,,,,,,,,,17,Anura,Chordata,Maximum,Anaxyrus woodhousii,Amphibians,16
Amphibia,Eukaryota,Bufonidae,Bufo,Animalia,,,,,,,,,,,,18,Anura,Chordata,Basal,Bufo bufo,Amphibians,17
Amphibia,Eukaryota,Bufonidae,Bufotes,Animalia,,,,,,,,,,,,19,Anura,Chordata,Basal,Bufotes viridis,Amphibians,18
Amphibia,Eukaryota,Bufonidae,Epidalea,Animalia,,,,,,,,,,,,20,Anura,Chordata,Basal,Epidalea calamita,Amphibians,19
Amphibia,Eukaryota,Bufonidae,Epidalea,Animalia,,,,,,,,,,,,21,Anura,Chordata,Maximum,Epidalea calamita,Amphibians,20
Amphibia,Eukaryota,Bufonidae,Incilius,Animalia,,,,,,,,,,,,22,Anura,Chordata,Basal,Incilius alvarius,Amphibians,21
Amphibia,Eukaryota,Bufonidae,Incilius,Animalia,,,,,,,,,,,,23,Anura,Chordata,Maximum,Incilius alvarius,Amphibians,22
Amphibia,Eukaryota,Bufonidae,Rhinella,Animalia,,,,,,,,,,,,24,Anura,Chordata,Basal,Rhinella marina,Amphibians,23
Amphibia,Eukaryota,Bufonidae,Rhinella,Animalia,,,,,,,,,,,,25,Anura,Chordata,Maximum,Rhinella marina,Amphibians,24
Amphibia,Eukaryota,Ceratophryidae,Ceratophrys,Animalia,,,,,,,,,,,,26,Anura,Chordata,Basal,Ceratophrys calcarata,Amphibians,25
Amphibia,Eukaryota,Ceratophryidae,Lepidobatrachus,Animalia,,,,,,,,,,,,27,Anura,Chordata,Basal,Lepidobatrachus llanensis,Amphibians,26
Amphibia,Eukaryota,Conrauidae,Conraua,Animalia,,,,,,,,,,,,28,Anura,Chordata,Basal,Conraua goliath,Amphibians,27
Amphibia,Eukaryota,Dendrobatidae,Colostethus,Animalia,,,,,,,,,,,,29,Anura,Chordata,Basal,Colostethus inguinalis,Amphibians,28
Amphibia,Eukaryota,Dendrobatidae,Colostethus,Animalia,,,,,,,,,,,,30,Anura,Chordata,Maximum,Colostethus inguinalis,Amphibians,29
Amphibia,Eukaryota,Dendrobatidae,Dendrobates,Animalia,,,,,,,,,,,,31,Anura,Chordata,Basal,Dendrobates auratus,Amphibians,30
Amphibia,Eukaryota,Dendrobatidae,Dendrobates,Animalia,,,,,,,,,,,,32,Anura,Chordata,Maximum,Dendrobates auratus,Amphibians,31
