Class,Domain,Family,Genus,Kingdom,Mean_Carbon_Mass,Mean_Dry_Mass,Mean_Mass,Mean_Mass_Specific,Mean_Mass_Specific_25,Mean_Mass_Specific_Carbon,Mean_Mass_Specific_Carbon_25,Mean_Mass_Specific_Dry,Mean_Mass_Specific_Dry_25,Mean_Metabolic_Rate,Mean_Metabolic_Rate_25,Number,Order,Phylum,Rate,Species,Type,index
Thermoprotei,Archaea,Sulfolobaceae,Sulfolobus,Archaea,,,,,,,,,,,,232,Sulfolobales,Crenarchaeota,Endogenous,Sulfolobus acidocalcadareus,Archaea,231
Thermoprotei,Archaea,Sulfolobaceae,Sulfolobus,Archaea,,,,,,,,,,,,233,Sulfolobales,Crenarchaeota,Endogenous,Sulfolobus sp. 1,Archaea,232
Halobacteria,Archaea,Halobacteriaceae,Halobacterium,Archaea,,,,,,,,,,,,234,Halobacteriales,Euryarchaeota,Endogenous,Halobacterium salinarum,Archaea,233
Methanobacteria,Archaea,Methanobacteriaceae,Methanobacterium,Archaea,,,,,,,,,,,,235,Methanobacteriales,Euryarchaeota,Maintenance,Methanobacterium formicicum,Archaea,234
Methanobacteria,Archaea,Methanobacteriaceae,Methanobacterium,Archaea,,,,,,,,,,,,236,Methanobacteriales,Euryarchaeota,Maximum,Methanothermobacter thermautotrophicus,Archaea,235
Methanobacteria,Archaea,Methanobacteriaceae,Methanothermobacter,Archaea,,,,,,,,,,,,237,Methanobacteriales,Euryarchaeota,Maintenance,Methanothermobacter thermautotrophicus,Archaea,236
Thermoplasmata,Archaea,Picrophilaceae,Picrophilus,Archaea,,,,,,,,,,,,238,Thermoplasmatales,Euryarchaeota,Endogenous,Picrophilus oshimae,Archaea,237
Thermoplasmata,Archaea,Picrophilaceae,Picrophilus,Archaea,,,,,,,,,,,,239,Thermoplasmatales,Euryarchaeota,Growing,Picrophilus oshimae,Archaea,238
Methanomicrobia,Archaea,Methanospirillaceae,Methanospirillum,Archaea,,,,,,,,,,,,240,Methanomicrobiales,Euryarchaeota,"Maintenance, flushed chemostat",Methanospirillum hungatei,Bacteria,239
Methanomicrobia,Archaea,Methanospirillaceae,Methanospirillum,Archaea,,,,,,,,,,,,241,Methanomicrobiales,Euryarchaeota,"Maintenance, nonflushed chemostat",Methanospirillum hungatei,Bacteria,240
Actinobacteria,Bacteria,Corynebacteriaceae,Corynebacterium,Bacteria,,,,,,,,,,,,242,Actinomycetales,Actinobacteria,Growing,Corynebacterium sp. 2,Bacteria,241
Actinobacteria,Bacteria,Micrococcaceae,Arthrobacter,Bacteria,,,,,,,,,,,,243,Actinomycetales,Actinobacteria,Endogenous,Arthrobacter crystallopoietes,Bacteria,242
Actinobacteria,Bacteria,Micrococcaceae,Arthrobacter,Bacteria,,,,,,,,,,,,244,Actinomycetales,Actinobacteria,Endogenous,Arthrobacter globiformis,Bacteria,243
Actinobacteria,Bacteria,Micrococcaceae,Arthrobacter,Bacteria,,,,,,,,,,,,245,Actinomycetales,Actinobacteria,Endogenous,Arthrobacter sp. 1,Bacteria,244
Actinobacteria,Bacteria,Micrococcaceae,Arthrobacter,Bacteria,,,,,,,,,,,,246,Actinomycetales,Actinobacteria,Endogenous,Arthrobacter sp. 2,Bacteria,245
Actinobacteria,Bacteria,Micrococcaceae,Micrococcus,Bacteria,,,,,,,,,,,,247,Actinomycetales,Actinobacteria,Endogenous,Micrococcus luteus,Bacteria,246
Actinobacteria,Bacteria,Mycobacteriaceae,Mycobacterium,Bacteria,,,,,,,,,,,,248,Actinomycetales,Actinobacteria,Endogenous,Mycobacterium phlei,Bacteria,247
Actinobacteria,Bacteria,Mycobacteriaceae,Mycobacterium,Bacteria,,,,,,,,,,,,249,Actinomycetales,Actinobacteria,Growing,Mycobacterium phlei,Bacteria,248
Actinobacteria,Bacteria,Mycobacteriaceae,Mycobacterium,Bacteria,,,,,,,,,,,,250,Actinomycetales,Actinobacteria,Endogenous,Mycobacterium tuberculosis,Bacteria,249
Actinobacteria,Bacteria,Nocardiaceae,Nocardia,Bacteria,,,,,,,,,,,,251,Actinomycetales,Actinobacteria,Endogenous,Nocardia corallina,Bacteria,250
Actinobacteria,Bacteria,Nocardiaceae,Nocardia,Bacteria,,,,,,,,,,,,252,Actinomycetales,Actinobacteria,Endogenous,Nocardia farcinica,Bacteria,251
Chlorobea,Bacteria,Chlorobiaceae,Chlorobium,Bacteria,,,,,,,,,,,,253,Chlorobiales,Chlorobi,Maintenance,Chlorobium BS-1,Bacteria,252
Bacilli,Bacteria,Alicyclobacillaceae,Alicyclobacillus,Bacteria,,,,,,,,,,,,254,Bacillales,Firmicutes,Maintenance,Alicyclobacillus acidocaldarius,Bacteria,253
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,255,Bacillales,Firmicutes,Endogenous,Bacillus cereus,Bacteria,254
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,256,Bacillales,Firmicutes,Growing,Bacillus cereus,Bacteria,255
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,257,Bacillales,Firmicutes,Endogenous,Bacillus firmus,Bacteria,256
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,258,Bacillales,Firmicutes,Growing,Bacillus licheniformis,Bacteria,257
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,259,Bacillales,Firmicutes,Maintenance,Bacillus licheniformis,Bacteria,258
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,260,Bacillales,Firmicutes,Endogenous,Bacillus megaterium,Bacteria,259
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,261,Bacillales,Firmicutes,Maintenance,Bacillus megaterium d440,Bacteria,260
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,262,Bacillales,Firmicutes,Endogenous,Bacillus pumilus,Bacteria,261
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,263,Bacillales,Firmicutes,Maintenance,Bacillus stearothermphilus,Bacteria,262
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,264,Bacillales,Firmicutes,Endogenous,Bacillus subtilis,Bacteria,263
Bacilli,Bacteria,Bacillaceae,Bacillus,Bacteria,,,,,,,,,,,,265,Bacillales,Firmicutes,Growing,Bacillus subtilis,Bacteria,264
Bacilli,Bacteria,Bacillaceae,Geobacillus,Bacteria,,,,,,,,,,,,266,Bacillales,Firmicutes,Maximum,Geobacillus L300,Bacteria,265
Bacilli,Bacteria,Bacillaceae,Geobacillus,Bacteria,,,,,,,,,,,,267,Bacillales,Firmicutes,Endogenous,Geobacillus stearothermophilus,Bacteria,266
Bacilli,Bacteria,Bacillaceae,Parageobacillus,Bacteria,,,,,,,,,,,,268,Bacillales,Firmicutes,Maximum,Parageobacillus thermoglucosidasus,Bacteria,267
Bacilli,Bacteria,Listeriaceae,Brochothrix,Bacteria,,,,,,,,,,,,269,Bacillales,Firmicutes,Maintenance,Brochothrix thermosphacta,Bacteria,268
Bacilli,Bacteria,Paenibacillaceae,Paenibacillus,Bacteria,,,,,,,,,,,,270,Bacillales,Firmicutes,Growing,Paenibacillus macerans,Bacteria,269
Bacilli,Bacteria,Paenibacillaceae,Paenibacillus,Bacteria,,,,,,,,,,,,271,Bacillales,Firmicutes,Maintenance,Paenibacillus polymyxa,Bacteria,270
Bacilli,Bacteria,Paenibacillaceae,Paenibacillus,Bacteria,,,,,,,,,,,,272,Bacillales,Firmicutes,Endogenous,Paenibacillus popilliae,Bacteria,271
Bacilli,Bacteria,Planococcaceae,Sporosarcina,Bacteria,,,,,,,,,,,,273,Bacillales,Firmicutes,Endogenous,Sporosarcina ureae,Bacteria,272
Bacilli,Bacteria,Staphylococcaceae,Staphylococcus,Bacteria,,,,,,,,,,,,274,Bacillales,Firmicutes,Endogenous,Staphylococcus aureus,Bacteria,273
Bacilli,Bacteria,Staphylococcaceae,Staphylococcus,Bacteria,,,,,,,,,,,,275,Bacillales,Firmicutes,Endogenous,Staphylococcus epidermidis,Bacteria,274
Bacilli,Bacteria,Staphylococcaceae,Staphylococcus,Bacteria,,,,,,,,,,,,276,Bacillales,Firmicutes,Growing,Staphylococcus epidermidis,Bacteria,275
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,277,Lactobacillales,Firmicutes,Endogenous,Enterococcus cecorum,Bacteria,276
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,278,Lactobacillales,Firmicutes,Growing,Enterococcus cecorum,Bacteria,277
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,279,Lactobacillales,Firmicutes,Endogenous,Enterococcus faecalis,Bacteria,278
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,280,Lactobacillales,Firmicutes,Growing,Enterococcus faecalis,Bacteria,279
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,281,Lactobacillales,Firmicutes,Endogenous,Enterococcus sp. 1,Bacteria,280
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,282,Lactobacillales,Firmicutes,Growing,Enterococcus sp. RfL5,Bacteria,281
Bacilli,Bacteria,Enterococcaceae,Enterococcus,Bacteria,,,,,,,,,,,,283,Lactobacillales,Firmicutes,Endogenous,Enterococcus sp. RfL6,Bacteria,282
Bacilli,Bacteria,Lactobacillaceae,Lactobacillus,Bacteria,,,,,,,,,,,,284,Lactobacillales,Firmicutes,Endogenous,Lactobacillus brevis,Bacteria,283
