a,s
8261.183,34
477.942,29
389.434,32
383.022,26
287.611,29
255.32,26
197.044,24
196.755,18
158.403,21
131.693,20
121.464,23
110.581,17
99.432,16
96.42,19
86.125,15
84.069,20
77.371,21
76.194,14
74.331,20
66.419,18
54.052,18
41.263,20
38.636,15
35.09,14
34.142,18
19.6785,14
14.63,11
11.8802,8
9.121,14
8.2,7
4.65,8
4.577,11
4.558,9
3.4,6
3.05,9
2.567,12
1.912,9
1.808,5
1.48,5
1.445,8
1.364,7
1.29,4
1.21,5
1.2,8
1.13,8
1.0,3
0.97,6
0.7987,5
0.72,6
0.7142,2
0.5964,2
0.57,5
0.56,2
0.5,5
0.47,8
0.385,6
0.3506,8
0.3086,5
0.28,7
0.2777,1
0.255,4
0.25,4
0.235,6
0.1508,5
0.15,3
0.15,3
0.1,5
0.0975,7
0.0898,3
0.0748,5
0.0663,7
0.06,4
0.0525,5
0.05,2
0.05,2
0.0485,4
0.0474,4
0.0433,2
0.0391,2
0.0354,5
0.0315,2
0.0307,4
0.03,3
0.03,4
0.025,3
0.0194,4
0.01,2
0.0077,3
0.004,3
0.0023,2
