Complexity,Loss,Equation
1,0.11972496,"1.5257605"
4,0.10074514,"sqrt(x0) + 0.3354007"
5,0.081789054,"x0 * (2.583356 - x0)"
6,0.04344959,"square(x0) * (2.2557173 - x0)"
7,0.04344957,"((2.255701 - x0) * x0) * x0"
8,0.04240389,"(2.3584948 - (x0 * 1.0631689)) * square(x0)"
9,0.04138247,"((square(x0) * -0.334835) - -1.5315156) * square(x0)"
10,0.03563151,"exp((square(square(x0 + -1.4067855)) * -7.805671) + 0.52115047)"
12,0.024896137,"exp((square(square(x0 + -1.3425982)) * -7.13174) - (x0 * -0.36440867))"
13,0.02473372,"sqrt(exp((square(square(x0 + -1.3017323)) * -11.253138) - (0.39539757 - x0)))"
15,0.010821282,"exp(((x0 * -2.4308975) + square(log(square(-5.287918 * (x0 + -1.3222406))))) * -0.19828843)"
