event,gw_name,domega_med,domega_lo,domega_hi,domega_mean,domega_std,dtau_med,dtau_lo,dtau_hi,dtau_mean,dtau_std,freq_gr_med,tau_gr_med,Mfz,Mfz_lo,Mfz_hi,chif,chif_lo,chif_hi,redshift
GW150914,GW150914,0.034392439037252975,-0.008674540240715846,0.09298207121088518,0.04315940606037028,0.05864253754428111,0.10570106892250425,-0.04834446248995978,0.2634447609915155,0.10816752129069349,0.15484305828946854,254.5755718102406,0.004508752359655449,71.6,11.0,8.6,0.76,0.2,0.1,nan
GW170104,GW170104,-0.0047156964445272545,-0.07976149588280577,0.1255865895536392,0.039764932422160754,0.19400741384202316,0.38437896127249627,-0.0315397836433917,0.8443540642236066,0.4149646443722463,0.46212848964685,287.83494432990506,0.004700937909768934,69.4,28.1,13.6,0.84,0.57,0.12,nan
S190519bj,GW190519A,-0.02909862019722955,-0.13027409971550216,0.059384341378603565,-0.01988144553392243,0.16485248729441018,0.19637117623333258,0.006802649044145686,0.3981563043982225,0.20351377591773737,0.1988585531518879,123.55206155479594,0.010328618992976837,155.5,29.9,24.0,0.81,0.28,0.1,0.49
S190521r,GW190521B,0.0716305861690423,0.016535561276959158,0.14452797514974813,0.08463690799613759,0.08246865902518351,-0.053171522985930135,-0.1883915685768139,0.09919916401340492,-0.04609962228879106,0.14283036560624227,204.64143380812794,0.005322085496005193,86.4,14.3,12.2,0.73,0.26,0.12,0.25
S190630ag,GW190630A,-0.060326672710219284,-0.1457895263249353,0.023372242706928767,-0.06387022847101258,0.1145972937799543,-0.01736086401420802,-0.30423547129066336,0.31348907171183227,0.0047384644422177255,0.30589526751679214,246.97548522877835,0.0038647289564839636,65.7,39.2,18.3,0.62,0.62,0.26,0.19
S190910s,GW190910A,0.0222319578362665,-0.03953599668471269,0.10747902082490109,0.036015100008983926,0.08559488617503463,0.5895849961903905,0.31637566239219206,0.9081695915922092,0.6108966118018601,0.30652295565222965,174.20435763311178,0.009521137115502815,123.5,18.1,14.7,0.9,0.11,0.05,0.29
S191109d,GW191109A,2.052076849853518,1.4239966338889805,2.626934386821222,1.9910433001942691,0.6532782705477422,-0.3330145446362609,-0.4314464635708577,-0.13355789191824036,-0.27703836361101697,0.19631953736060184,136.0891449113314,0.015158664326035702,170.4,15.1,25.3,0.94,0.04,0.02,nan
S200129m,GW200129A,-0.014772425697346,-0.06316459173718218,0.03138247022685485,-0.015782859912912818,0.048673979141086794,0.11245272759018204,-0.02954985774698348,0.25381258589238487,0.1125837063034137,0.13974616259870692,246.42481246129512,0.004676680439903048,74.2,10.0,7.4,0.76,0.22,0.1,nan
S200208q,GW200208A,2.4144824511507483,0.44765732811355347,2.850184042886109,2.083332690507246,0.9902147169587677,0.5512543660607818,-0.08708135942973158,2.5810812331021635,1.0204100567467616,1.232224534791218,460.82764976456315,0.018322724815590507,71.5,11.1,23.8,1.0,0.45,0.0,nan
S200224ca,GW200224A,0.03544978271443404,-0.031787909298226495,0.10854716132424677,0.0390835067220041,0.07465488773694107,0.23463958770819415,0.06410738459812387,0.4081852819721332,0.23790580562763328,0.17421999605646687,196.09604314576944,0.0070007209254318165,101.6,14.0,10.4,0.85,0.16,0.07,nan
S200311bg,GW200311B,0.05306138863584389,-0.014474970104579614,0.14213951468145988,0.06388432087891534,0.08810354890355043,0.07166671407782532,-0.13708560073182693,0.2957218588248374,0.08019209094746949,0.21460691659503367,241.82514105838746,0.00472236473665861,75.3,17.4,12.4,0.76,0.39,0.13,nan
