galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
CamB,9,1.2e-10,0.9074013590819279,1.2e-10,0.9067856488151531,-19.810875580649498,-94.7514232450125,0.2660934872661127,0.06854534829546337,0.9836262871245346,20.1,3.36
D564-8,6,1.2e-10,0.33189492802584947,1.2e-10,0.33167505171477063,-9.64684884410142,17.977287929750617,0.07890590774505377,0.15289548202111813,-0.06803388527182737,25.0,8.79
D631-7,16,1.2e-10,0.321742543744471,1.2e-10,0.320984305146961,-8.995027582916448,20.392239929564468,0.1332436868820315,0.12832641062190178,-0.5606673061697374,58.5,7.72
DDO064,14,1.2e-10,0.14899877948469076,1.2e-10,0.14871493441960135,-13.942437831556909,-37.773652792061704,0.09438491928611098,0.07907749620394522,0.960470777534299,46.9,6.8
DDO154,12,1.2e-10,0.14924111846263863,1.2e-10,0.14880061238931275,-12.569799035171902,-20.45844495351066,0.07043317034328016,0.2240893671593702,-1.0,48.2,4.04
DDO161,31,1.2e-10,0.3089874170705917,1.2e-10,0.308147582417533,-13.02436208987454,-24.55123595824471,0.03864343682550805,0.11895117846370876,-0.44369749923271273,67.5,7.5
DDO168,10,1.2e-10,0.21803525591868728,1.2e-10,0.21689389683693552,-8.544068062609417,22.60375036254227,0.08396034392343112,0.1438739687101194,0.541579243946581,55.0,4.25
DDO170,8,1.2e-10,0.2073657253747892,1.2e-10,0.20690743858193583,-18.49523967033493,-87.56239014575095,0.04377609070618629,0.11785659652609003,-0.16115090926274472,62.2,15.4
ESO079-G014,15,1.2e-10,0.09872206266999124,1.2e-10,0.09867425703899432,-8.891282701117287,13.042392041722579,0.07442103658162684,0.003418232179141084,1.953373050726696,178.0,28.7
ESO116-G012,15,1.2e-10,0.08252541733519021,1.2e-10,0.08352942201360042,-14.40894911785376,-45.20124682986431,0.04772949518591306,0.012911378842515132,1.3838153659804313,112.0,13.0
ESO444-G084,7,1.2e-10,0.18201718236890382,1.2e-10,0.18275845916250957,-14.434618385561574,-45.807169686764986,0.026018752693869232,0.17033104591322282,0.012837224705172217,63.1,4.83
ESO563-G021,30,1.2e-10,0.25258098964346254,1.2e-10,0.2526815715393911,-13.126683346272447,-33.38229781508785,0.22217233275112472,0.0009815330337529973,1.9215824403934163,321.0,60.8
F561-1,6,1.2e-10,0.46913673035708536,1.2e-10,0.4681602838669061,-16.46179445573887,-61.55109368384008,0.09027006355183718,0.020104007145419028,1.1014033505553307,50.4,66.4
F563-1,17,1.2e-10,0.22857267092777767,1.2e-10,0.2289605045826659,-20.37029417135644,-113.05138327722342,0.16007942088235907,0.055724729295061934,0.22530928172586284,112.5,48.9
F563-V1,6,1.2e-10,0.6553456020358078,1.2e-10,0.654935868902674,-22.901948445330984,-133.2945763759891,0.08663983607514153,0.05933911083129062,0.7323937598229685,29.5,54.0
F563-V2,10,1.2e-10,0.26707086546697634,1.2e-10,0.2680710962027035,-24.084402072436973,-153.97962287275772,0.08643157167248486,0.031399252077456495,1.3423239663128816,118.0,59.7
F565-V2,7,1.2e-10,0.11337679974229715,1.2e-10,0.11357716289079542,-38.074900113963004,-315.3084270421211,0.05926159901044563,0.09552675302027618,0.20411998265592482,83.1,51.8
F567-2,5,1.2e-10,0.2924606266458737,1.2e-10,0.29200670317492095,5.094989633227327,183.4232904517267,0.08875469646752841,0.025345138968071772,0.6989700043360189,52.2,79.0
F568-1,12,1.2e-10,0.2929413569420425,1.2e-10,0.29379594349252913,-20.33725728429147,-112.38450150880033,0.16715992769490118,0.020787093643736113,1.1733319803686495,142.0,90.7
F568-3,18,1.2e-10,0.18021108344768136,1.2e-10,0.1800721881345828,-34.629479626187155,-268.99292916300163,0.13427046346283436,0.015395346482060425,1.3080305542661057,120.0,82.4
