iter,cpx5_a,cpx5_b,mond_a0
0,-16.939941074402277,-71.56177347406634,8.799377169866638e-11
1,-16.989404209981927,-71.8828893500056,1.1490725237467368e-10
2,-17.449732157015504,-76.79634241119824,2.103633723498686e-10
3,-17.103524729793772,-73.08234293011766,6.529739413659455e-11
4,-17.327576818181818,-75.2526933819633,1.2880938078592275e-10
5,-16.99308869726126,-72.09834680996565,1.27369690822364e-10
6,-17.366275381029105,-75.77232370651387,3.808920951282052e-10
7,-17.103450230015735,-73.23005967884502,1.3935429221786284e-10
8,-16.973153422422183,-72.07360676359153,3.055665385983365e-10
9,-16.907982850421753,-71.30005856289326,1.8277273282434654e-10
10,-16.997582079691405,-72.05208178731908,1.3795329355385262e-10
11,-17.019910625456006,-72.37549057272682,1.4513210710422086e-10
12,-17.26138039947498,-74.7463063592715,1.6043823879412663e-10
13,-17.076189843013324,-72.90100534754578,2.054176645370889e-10
14,-17.105420197372077,-73.39540962413187,1.780580721345798e-10
15,-17.133735361498655,-73.55740569133673,3.4828963052686163e-10
16,-17.130395342062986,-73.51882261002302,3.4340430497722696e-10
17,-17.116891649921413,-73.44233348794671,4.0712298401824947e-10
18,-16.908047045691934,-70.93797602997093,1.1392819531039083e-10
19,-17.11045153972568,-73.1924468678038,1.5291262824599848e-10
20,-17.101696617370166,-73.16392641282873,1.9734262237057866e-10
21,-17.02973711647875,-72.5822507058308,1.7266540003546314e-10
22,-17.001424636051198,-72.15441414744983,1.1007688634252671e-10
23,-16.95218734593347,-71.72854695367066,1.3750528236412367e-10
24,-16.806345396288243,-70.18821580604939,2.1876792836782887e-10
25,-17.135378311044782,-73.6574733733308,2.343436523143904e-10
26,-16.685330136980056,-68.97993699761165,1.734838187992705e-10
27,-17.03122572924528,-72.52719220662135,3.3123561677765554e-10
28,-17.051996781165712,-72.5321280429489,8.974511920496347e-11
29,-17.032250906761206,-72.43743910728867,2.4742160075894576e-10
30,-17.070375172842496,-72.78835650717409,1.171814145832889e-10
31,-17.069228914364533,-72.59614792535368,1.2319448736270663e-10
32,-17.10181838205858,-73.28977841392528,3.0007990874864554e-10
33,-17.291077523632275,-75.2507241933664,5.069762959207076e-10
34,-16.828156739242594,-70.4306100049546,1.1709485362984069e-10
35,-17.036224827550647,-72.50511540089488,1.9892796558684927e-10
36,-16.96463533623227,-71.46008960424916,3.36851975453153e-11
37,-16.94956835592194,-71.54780231240497,3.2836050403792134e-10
38,-17.063551972516006,-72.86586156451325,2.941687768069869e-10
39,-16.925803961039303,-71.27619984709902,9.956261437066095e-11
40,-17.15703988620917,-73.71748166432424,3.8356044067621515e-10
41,-16.861296006233008,-70.6650740959966,8.504476637129329e-11
42,-17.084128826106763,-72.76201698007284,1.009253568597405e-10
43,-16.931049630319233,-71.44738826679475,1.8701888847180053e-10
44,-17.082575476843378,-72.89836238390964,1.2532712918301243e-10
45,-17.16588169096673,-73.71897206554443,2.2399332608819065e-10
46,-17.14712639730762,-73.5475202818,2.0365543050198025e-10
47,-17.152752757027834,-73.62823390818888,1.9347329794947052e-10
48,-17.07868176502022,-72.80488667621762,1.5864268092247332e-10
49,-16.99729621472276,-72.05425913275505,1.5071951453521808e-10
50,-16.810100981249708,-70.15911465217135,1.2183589731693068e-10
51,-16.948681236091552,-71.41887568110297,1.470290318045463e-10
52,-17.053918476642934,-72.55097725723017,2.2822618361266432e-10
53,-16.989839635349362,-72.01188526473521,2.493476574711301e-10
54,-16.700919050902094,-69.12846290990493,1.2794878433406354e-10
55,-17.130998439491915,-73.36494021079999,2.078620713934705e-10
56,-17.159047470767383,-73.75975630224688,3.733101496903664e-10
57,-16.736845985280738,-69.46149187756014,8.929373169066285e-11
58,-16.967540547505113,-71.52969820243536,8.431905466093133e-11
59,-17.035290634680294,-72.70661159750495,1.5252843683087748e-10
60,-17.035222019334245,-72.51608290778557,1.7190062308524101e-10
61,-17.17884250958454,-73.99734440799585,2.099788814175256e-10
62,-16.920449838024506,-71.33260529786394,1.6150569248279434e-10
63,-17.014483946294046,-72.19835283864964,2.1796454507605026e-10
64,-16.93404485909256,-71.38003607845774,1.5879579107316425e-10
65,-17.068248505957246,-72.89265409618251,1.2833948315138678e-10
66,-17.133695216414004,-73.54170905919959,1.373745770415676e-10
67,-17.130715390537805,-73.53028460101538,2.0999129538923446e-10
68,-17.045588460669872,-72.65577127299706,1.115362561492056e-10
69,-17.070835160905567,-72.88058924057108,1.697826550974696e-10
70,-16.783219673082748,-69.93275137635634,1.9115147130726897e-10
71,-17.115884373474834,-73.22025143094078,8.116362277779712e-11
72,-17.216203953746277,-74.40211029359209,2.928024871112582e-10
73,-17.136016340699413,-73.40180304341631,1.9982737508011613e-10
74,-17.08747785009985,-72.9923033492313,2.5167885132453495e-10
75,-17.093766918389203,-73.01053438554237,2.4882447545469193e-10
76,-17.246800908666852,-74.51896506185078,2.7809122161006676e-10
77,-16.736026356804174,-69.09491243831057,4.471797124179993e-11
78,-17.16707871448782,-73.74460713551572,2.183194167570857e-10
79,-16.991074193181262,-72.21258536155344,2.3905340835599643e-10
80,-16.733765907018025,-69.30427417503607,9.045475242670302e-11
81,-16.985593591002576,-72.13744090991456,1.6052388895778398e-10
