galaxy,n_pts,log_M200,log_c,c_nfw,chi2_nfw,chi2_bur,best,V_max
CamB,9,11.5,1.0,10.0,53.589068000000005,53.58906799999998,Burkert,20.1
D631-7,16,11.5,1.0,10.0,1333.207524,1333.2075239999995,Burkert,58.5
DDO064,14,11.5,1.0,10.0,609.0724328920061,609.0724328920058,Burkert,46.9
DDO154,12,11.5,1.0,10.0,756.472,756.4719999999998,Burkert,48.2
DDO161,31,11.5,1.0,10.0,3375.723800600107,3375.723800600106,Burkert,67.5
DDO168,10,11.5,1.0,10.0,764.66,764.6599999999997,Burkert,55.0
DDO170,8,11.5,1.0,10.0,911.8584000000001,911.8583999999998,Burkert,62.2
ESO079-G014,15,11.5,1.0,10.0,8985.61762235678,8985.61762235678,Burkert,178.0
ESO116-G012,15,11.5,1.0,10.0,4934.40452345679,4934.40452345679,Burkert,112.0
ESO563-G021,30,11.5,1.0,10.0,35610.61115589934,35610.61115589934,Burkert,321.0
F563-1,17,11.5,1.0,10.0,1184.740937917604,1184.7409379176038,Burkert,112.5
F563-V2,10,11.5,1.0,10.0,542.1200629253635,542.1200629253633,Burkert,118.0
F568-1,12,11.5,1.0,10.0,1164.9727031128778,1164.9727031128778,Burkert,142.0
F568-3,18,11.5,1.0,10.0,1622.6395130093852,1622.6395130093852,Burkert,120.0
F568-V1,15,11.5,1.0,10.0,1483.6138323537325,1483.6138323537325,Burkert,118.0
F571-8,13,11.5,1.0,10.0,4831.706135466489,4831.706135466489,Burkert,144.0
F574-1,14,11.5,1.0,10.0,3861.3467031823648,3861.346703182364,Burkert,99.7
F579-V1,14,11.5,1.0,10.0,1306.160061544009,1306.160061544009,Burkert,114.0
F583-1,25,11.5,1.0,10.0,2023.954764446149,2023.9547644461484,Burkert,86.9
F583-4,12,11.5,1.0,10.0,1364.7036111405077,1364.7036111405073,Burkert,69.9
IC2574,34,11.5,1.0,10.0,2454.399465965547,2454.399465965546,Burkert,67.5
IC4202,32,11.5,1.0,10.0,41471.84128318608,41471.84128318608,Burkert,250.0
KK98-251,15,11.5,1.0,10.0,340.092468,340.0924679999999,Burkert,34.6
NGC0024,29,11.5,1.0,10.0,4504.585295155634,4504.5852951556335,Burkert,110.0
NGC0055,21,11.5,1.0,10.0,4133.570903333375,4133.570903333374,Burkert,87.4
NGC0100,21,11.5,1.0,10.0,3272.1030213008403,3272.1030213008394,Burkert,91.2
NGC0247,26,11.5,1.0,10.0,4980.571709547146,4980.5717095471455,Burkert,108.0
NGC0289,28,11.5,1.0,10.0,17966.115604583112,17966.115604583112,Burkert,194.0
NGC0300,25,11.5,1.0,10.0,4047.35804539006,4047.3580453900595,Burkert,97.0
NGC0801,13,11.5,1.0,10.0,18124.631261717896,18124.631261717896,Burkert,238.0
NGC0891,18,11.5,1.0,10.0,31039.985913328295,31039.985913328295,Burkert,234.0
NGC1003,36,11.5,1.0,10.0,14390.520859833796,14390.520859833792,Burkert,115.0
NGC1090,24,11.5,1.0,10.0,20016.39740397154,20016.39740397154,Burkert,176.0
NGC1705,14,11.5,1.0,10.0,2060.680786961992,2060.680786961992,Burkert,73.2
NGC2366,26,11.5,1.0,10.0,1814.358016686778,1814.3580166867773,Burkert,53.7
