galaxy,n_pts,a,e_a,b,e_b,rms,gas_frac,log_SB,D
CamB,9,-19.810876435237027,7.620459836617753,-94.75143293775784,86.4238465333573,0.2660934872661112,0.7128440366972476,0.9836262871245346,3.36
D564-8,6,-9.646853484586828,3.1615886648066835,17.97723331022543,37.43277408973951,0.07890590774503807,0.31672201466722016,-0.06803388527182737,8.79
D631-7,16,-8.99502838807405,1.3764676602551644,20.392231011738147,15.598119897344723,0.13324368688202626,0.43479831751509923,-0.5606673061697374,7.72
DDO064,14,-13.94243780440707,0.7843211184733209,-37.77365248428089,8.8822046028633,0.09438491928611079,0.2997345504144371,0.960470777534299,6.8
DDO154,12,-12.569799246316938,1.4155829274935956,-20.458447483060606,16.288110393272294,0.07043317034328003,0.37245046939103266,-1.0,4.04
DDO161,31,-13.024362233760064,0.40966662773415974,-24.55123756839272,4.613257455581976,0.038643436825508075,0.5187702265372169,-0.44369749923271273,7.5
DDO168,10,-8.544065018336182,2.1474939013109897,22.60378389627045,23.721160745414515,0.08396034392343242,0.46865384615384614,0.541579243946581,4.25
DDO170,8,-18.495240294880954,1.7946931129654964,-87.56239734604824,20.588173245815227,0.043776090706184496,0.4214737213444678,-0.16115090926274472,15.4
ESO079-G014,15,-8.891281550622299,2.486984694472447,13.04240429876328,26.2523850923284,0.0744210365816269,0.11236230110159118,1.953373050726696,28.7
ESO116-G012,15,-14.408948757161687,0.7090359037120246,-45.20124294788533,7.638800099094351,0.04772949518591289,0.22089715536105034,1.3838153659804313,13.0
ESO444-G084,7,-14.434618266670133,0.5252470052491989,-45.807168363628165,5.89768044087254,0.02601875269386959,0.3271954674220964,0.012837224705172217,4.83
ESO563-G021,30,-13.126683180573059,1.4196554109852884,-33.382296121300655,14.491221430587876,0.2221723327511249,0.060307621209990156,1.9215824403934163,60.8
F561-1,6,-16.461802652564092,12.34366951169553,-61.55118480812927,137.3142877986552,0.09027006355183124,0.38544224068614313,1.1014033505553307,66.4
F563-1,17,-20.37029422327517,3.8035199788042564,-113.05138387061767,43.46896418523031,0.16007942088235932,0.25912621359223303,0.22530928172586284,48.9
F563-V1,6,-22.901948634001087,5.868592532798371,-133.29457855082023,67.64638079293532,0.0866398360751414,0.5200669669313737,0.7323937598229685,54.0
F563-V2,10,-24.084401828817136,1.9387083063413053,-153.9796201001462,21.57309900336818,0.08643157167248504,0.11777491113404426,1.3423239663128816,59.7
F565-V2,7,-38.07490441967805,6.4488965615240055,-315.30847633104673,74.08019384583545,0.059261599010449646,0.2655086848635236,0.20411998265592482,51.8
F567-2,5,5.0949974795284945,13.632671565857056,183.42338033435257,156.16678367660188,0.08875469646751959,0.30669144981412644,0.6989700043360189,79.0
F568-1,12,-20.33724978901794,8.108430363636323,-112.38441813899519,90.07016458162781,0.16715992769489346,0.1268038359693695,1.1733319803686495,90.7
F568-3,18,-34.62947804144182,5.344803027122451,-268.99291147144476,59.66638209744254,0.1342704634628341,0.09962265216245718,1.3080305542661057,82.4
F568-V1,15,-21.354115167557552,3.062809151548708,-123.94284724520028,34.2445984480779,0.11943434249538087,0.10848214285714286,0.9712758487381052,80.6
F571-8,13,-10.029496872996583,0.8666973644928337,2.0152737554934887,9.088803726575845,0.13770668028367028,0.08019047619047619,0.9299295600845878,53.3
F571-V1,7,-15.817676268889358,2.763113478683637,-58.4041257426016,31.279217309945953,0.06612709701220747,0.33350649350649353,0.320146286111054,80.1
F574-1,14,-18.819940933622245,3.1060061349551553,-93.40590819045438,34.64319115205532,0.11098187872683121,0.12947034282604752,1.0838608008665729,96.8
F574-2,5,-19.65980514733068,3.819656129069985,-94.74498222198726,43.8190342383317,0.07252248710322737,0.6569444444444444,0.8312296938670634,89.1
F579-V1,14,-25.641281080374583,3.451271411223966,-168.56126590721087,37.64094189902072,0.13195723783619712,0.13134171907756814,1.4740705032150436,89.5
F583-1,25,-0.6218963170361569,5.067511175598488,116.00327010527437,58.49253844331373,0.18697337550387327,0.10229885057471265,0.7817553746524689,35.4
