galaxy,Ud_best,Ub_best,n_pts,rms_RAR,a0_gal
CamB,0.10000000001301315,0.9792156794326761,9,54.42847702001472,3.348086311028022e-12
D512-2,0.21291523054242106,0.8878343386203046,4,0.18916514972392018,
D564-8,0.1000000000000005,0.9792156794417853,6,4.70834606491912,4.6367225052030596e-11
D631-7,0.10000000000000109,0.9799999999999984,16,7.195235859766067,4.265337457256025e-11
DDO064,0.5859303433448073,0.5605518846586341,14,2.0359147356623244,8.370983650889966e-11
DDO154,0.1000000000000005,0.9792156794417853,12,0.306333450558742,9.555249804034667e-11
DDO161,0.10000000000000286,0.9792156794417831,31,5.635230960330811,3.29800851756289e-11
DDO168,0.10000000000000253,0.9887499999999975,10,3.3805621541991204,5.673186036159365e-11
DDO170,0.10000000000000109,0.9799999999999984,8,2.204056148664766,6.296789476604357e-11
ESO079-G014,0.5114423155784604,0.6876153790950773,15,0.9713135792017981,1.195729141838146e-10
ESO116-G012,0.6073914110660547,0.6335760122537606,15,0.5147988416588196,1.149262523553329e-10
ESO444-G084,1.855415774427824,0.25291806142601614,7,1.405361996633144,1.126489117494138e-10
ESO563-G021,0.580202433466911,0.6526082965731614,30,6.201393040021826,1.2877171233880058e-10
F561-1,0.10000000000000003,0.9870125457644461,6,7.144016083487798,3.500846396699868e-11
F563-1,1.390747432364147,0.1141094979154812,17,2.62137150912247,1.3928518560569874e-10
F563-V1,0.10000000000000038,0.9887499999999989,6,27.520265660605354,8.471972575629264e-12
F563-V2,1.6235419050444762,0.1886619550182614,10,1.6230914410184643,1.6217994472792012e-10
F565-V2,0.5590596318244935,0.6499082577228543,7,1.2740252796565965,1.5346832863076053e-10
F567-2,0.256237509846687,0.9056337431073186,5,4.7276034800202105,6.08669108419126e-11
F568-1,1.5172004053369141,0.14574552112258227,12,2.962868790106278,1.4133045471117526e-10
F568-3,0.39755256604403266,0.801654610019177,18,3.033841556583909,1.511467041380283e-10
F568-V1,1.4773276373743989,0.137341457530849,15,1.3745809990855014,1.2988775370242747e-10
F571-8,0.2681339503265917,0.8267593597713853,13,11.408379825287374,3.8645891066683194e-11
F571-V1,0.21496823953930255,0.9131941073224874,7,0.2778653974766123,1.2775847124433776e-10
F574-1,0.6092619545757767,0.6423838192969552,14,1.2554384463220516,1.290253853875339e-10
F574-2,0.17419046060958296,0.8795463862053956,5,25.206284628914556,4.591118095557058e-12
F579-V1,1.0126084342598887,0.3914865960180723,14,2.27236799429003,1.5872135394152463e-10
F583-1,0.5803225100040439,0.656899242997169,25,5.0448288118939875,1.3438976514201435e-10
F583-4,0.35373289510607686,0.8483244734257457,12,0.1080143607998136,1.2008197612375011e-10
IC2574,0.10000000020821434,0.9792156792960355,34,1.1381613402627595,7.806314630829445e-11
IC4202,0.8460884541273116,0.100008847713468,32,2.184174473059639,1.4520402836839486e-10
KK98-251,0.10000000000000109,0.9799999999999984,15,12.333077500707198,2.5283692163398962e-11
NGC0024,1.126985253393647,0.23923532262444036,29,0.9736770187396601,1.3302074798408457e-10
NGC0055,0.10000000000020302,0.9792156794416433,21,0.9580472925700976,7.281630301274962e-11
NGC0100,0.2937600776553152,0.8509304456412788,21,2.533923955471648,1.4016416081126654e-10
NGC0247,0.47899480219930424,0.7797817634604879,26,0.32519812342452986,1.1842163451025912e-10
NGC0289,0.3968487218022347,0.7503308947384355,28,1.0427162629650857,2.5681986989264177e-10
NGC0300,0.583591869403608,0.6021106914174736,25,0.3342197849493324,1.1501472874231873e-10
NGC0801,0.39303017142228763,0.8409140362543985,13,1.340383635460988,2.652353532563036e-10
NGC0891,0.34525248522404545,0.5800508502346928,18,0.4106176818521598,1.1186902446847852e-10
NGC1003,0.309223653352819,0.9483871926530264,36,0.20748117617224365,1.1175732430173011e-10
NGC1090,0.3082980708219109,0.8261249441746623,24,1.6522261517904955,1.199551302611006e-10
NGC1705,1.6259990444668797,0.1795139427082823,14,0.1994261156649049,9.494561901432083e-11
NGC2366,0.10000000083285804,0.9792156788587849,26,1.926532596316717,6.888692785207354e-11
NGC2403,0.5497380837798116,0.6695583413541316,73,0.185380647903376,1.161201806901186e-10
NGC2683,0.35511725763806395,1.5589197096835836,11,0.36231574957762996,1.4907966531751845e-10
NGC2841,1.0798443028703335,0.8438045302405957,50,0.06643715722816551,1.1046743137208921e-10
NGC2903,0.36377314329147337,0.8128587996959683,34,4.119040795473388,1.9733630629368135e-11
NGC2915,0.8302040025591835,0.4940134482085682,30,9.41332606495157,2.1456281027490225e-11
NGC2955,0.3000157766044135,0.7484931625798346,24,0.22638820362072642,1.3236990127688554e-10
NGC2976,0.26541116237640444,0.7592121863365171,27,2.4809453617562736,1.755522649824496e-10
NGC2998,0.7920768618583665,0.5305461966991404,13,4.024145673939386,3.1750631051523635e-10
NGC3109,0.2410215087234971,0.8692536938935513,25,1.2182211531354932,1.7134911803502495e-10
NGC3198,0.36245550513267544,0.9187811464071265,43,1.5704694428862853,9.325923781249519e-11
NGC3521,0.49981077141310354,0.6838479751475462,41,0.08251105243394523,1.3110543108722757e-10
NGC3726,0.278390937298536,0.8398138438910243,12,0.25471346287105673,1.1776269020453646e-10
NGC3741,0.20067569352686385,0.9095270145311949,21,0.3315932024448997,1.3580880870896177e-10
NGC3769,0.284067533141933,0.8774027268006465,12,0.20370436355113697,1.1501852079101729e-10
NGC3877,0.33221379816532093,0.852450341284275,13,3.8049430948362133,1.2180039394659294e-10
NGC3893,0.4924983784090728,0.7361495726136491,10,0.13117947852490505,9.214017897576251e-11
NGC3917,0.44905927190557116,0.7892522596661002,17,1.5420233651326392,1.3587368737468377e-10
NGC3949,0.4169256851077079,0.7756520204246045,7,0.10390984373843871,1.1371930821947164e-10
NGC3953,0.4965117963962258,0.7122854925226423,8,0.17598319773152474,1.362677423348462e-10
NGC3972,0.5292707216925918,0.7331042448151854,10,0.6962620896598953,1.204510876388119e-10
NGC3992,0.6132402376388195,0.6152630836528254,9,0.18113443318200897,1.4501861810188706e-10
NGC4010,0.3324098113924263,0.8195006320253013,12,0.6561080889933211,1.1581975198494242e-10
NGC4013,0.11534356012849831,1.8480960489702842,36,0.11048587500333151,1.2028400650543403e-10
NGC4051,0.32675147631671253,0.813207560328301,7,0.33130307767718903,1.337575367223769e-10
NGC4068,0.10000000000325304,0.9792156794395084,6,6.595575543183181,5.7344095857709236e-11
NGC4085,0.24508587367599835,1.0051696247549262,7,2.586671997226855,1.1582611368394283e-10
NGC4088,0.232972529530525,0.869419229328632,12,0.1896853297683066,1.2866081558720958e-10
NGC4100,0.5494576409459113,0.6960046513378618,24,0.22086246938275567,1.370620743445223e-10
NGC4138,0.612430992722511,0.10031994670629205,7,0.21055162424952487,1.3339391933208475e-10
NGC4157,0.3412713833982706,0.1005857524679584,17,0.07691466965479045,1.2282506886399814e-10
NGC4183,0.44724353551864604,0.7719295251369475,23,0.6239500580408268,1.3443863144704614e-10
NGC4214,1.1228207051753956,0.3121505063772156,14,0.9719948987922408,1.5115024160492152e-10
NGC4217,1.4350223667919502,0.10015595138072933,19,0.8060462223453777,1.2235180632775227e-10
NGC4389,0.10000000000162629,0.9982843205570753,6,3.9241502526376113,8.070755997025144e-11
NGC4559,0.26424543010070933,0.826200073929503,32,0.287090933889762,1.258310027527053e-10
NGC5005,0.4991703778505324,0.531752985417842,18,0.06302068984947007,1.3996721814012116e-10
