galaxy,n_pts,hook_fraction,hook_points,sign_changes,null_mean,null_std,null_p95,p_value,significant_95,degenerate_null
CamB,9,0.625,5,0,0.28125,0.09742785792574934,0.38124999999999964,0.0,True,False
D564-8,6,0.2,1,1,0.41600000000000004,0.1316966210652346,0.6,1.0,False,False
D631-7,16,0.5333333333333333,8,1,0.43933333333333335,0.08594313365372608,0.5366666666666665,0.26,False,False
DDO064,14,0.07692307692307693,1,3,0.1492307692307692,0.062321935693935675,0.23076923076923078,0.98,False,False
DDO154,12,0.36363636363636365,4,1,0.45818181818181813,0.09699620849708467,0.6363636363636364,0.92,False,False
DDO161,31,0.23333333333333334,7,6,0.36633333333333334,0.052386384999666975,0.43499999999999994,1.0,False,False
DDO168,10,0.4444444444444444,4,1,0.45444444444444443,0.10195012094398823,0.6666666666666666,0.72,False,False
DDO170,8,0.14285714285714285,1,1,0.30999999999999994,0.13560898170242025,0.5714285714285714,0.95,False,False
ESO079-G014,15,0.35714285714285715,5,2,0.377142857142857,0.08086269541762803,0.5,0.76,False,False
ESO116-G012,15,0.14285714285714285,2,3,0.30428571428571427,0.06822830820719744,0.42857142857142855,1.0,False,False
ESO444-G084,7,0.16666666666666666,1,1,0.21833333333333332,0.10978514370249637,0.3333333333333333,0.9,False,False
ESO563-G021,30,0.10344827586206896,3,1,0.42206896551724143,0.05411046964395319,0.5172413793103449,1.0,False,False
F561-1,6,0.2,1,1,0.276,0.159449051423958,0.6,0.87,False,False
F563-1,17,0.3125,5,3,0.31875,0.06343057228182637,0.4375,0.74,False,False
F563-V1,6,0.0,0,1,0.26999999999999996,0.12449899597988731,0.4,1.0,False,False
F563-V2,10,0.0,0,1,0.1366666666666667,0.09409084131706488,0.3333333333333333,1.0,False,False
F565-V2,7,0.16666666666666666,1,1,0.13999999999999999,0.1147945023848171,0.3333333333333333,0.67,False,False
F567-2,5,0.25,1,0,0.25,0.15,0.5,0.82,False,False
F568-1,12,0.2727272727272727,3,1,0.2109090909090909,0.07807603837666868,0.36363636363636365,0.4,False,False
F568-3,18,0.11764705882352941,2,1,0.22999999999999995,0.05524090054864788,0.35294117647058826,0.99,False,False
F568-V1,15,0.14285714285714285,2,1,0.36214285714285716,0.08284174733816771,0.5,1.0,False,False
F571-8,13,0.25,3,3,0.4591666666666667,0.08619664211041583,0.5833333333333334,1.0,False,False
F571-V1,7,0.16666666666666666,1,1,0.3400000000000001,0.13523641850067197,0.5,0.96,False,False
F574-1,14,0.15384615384615385,2,1,0.39230769230769236,0.08104349040655952,0.5384615384615384,1.0,False,False
F574-2,5,0.25,1,0,0.1025,0.12295832627357936,0.25,0.41,False,False
F579-V1,14,0.0,0,1,0.3246153846153846,0.07582290172524067,0.46153846153846156,1.0,False,False
F583-1,25,0.16666666666666666,4,2,0.1825,0.03898895855096529,0.25,0.85,False,False
F583-4,12,0.2727272727272727,3,4,0.2409090909090909,0.08067381522408566,0.36363636363636365,0.53,False,False
IC2574,34,0.24242424242424243,8,11,0.20272727272727273,0.04192235597161976,0.2727272727272727,0.3,False,False
IC4202,32,0.2903225806451613,9,1,0.4280645161290323,0.05117861643730753,0.5161290322580645,1.0,False,False
KK98-251,15,0.07142857142857142,1,1,0.10499999999999997,0.046789803529035195,0.14285714285714285,0.95,False,False
NGC0024,29,0.21428571428571427,6,5,0.2232142857142857,0.05258011380119806,0.32142857142857145,0.74,False,False
NGC0055,21,0.2,4,1,0.4200000000000001,0.05916079783099617,0.5,1.0,False,False
NGC0100,21,0.25,5,1,0.41200000000000003,0.06896375859826669,0.5,1.0,False,False
NGC0247,26,0.04,1,3,0.3528,0.06232302945139942,0.44,1.0,False,False
NGC0289,28,0.07407407407407407,2,0,0.1248148148148148,0.047906802527355775,0.18518518518518517,0.92,False,False
NGC0300,25,0.20833333333333334,5,5,0.3825,0.06906619208331155,0.5,1.0,False,False
