galaxy,n_pts,hook_fraction,hook_points,sign_changes,null_mean,null_std,null_p95,null_p99,p_value,significant_95,significant_99,rms
CamB,9,0.625,5,0,0.0,0.0,0.0,0.0,0.0,True,True,0.2660934872661112
D564-8,6,0.2,1,1,0.53,0.1543372929657638,0.8,0.8,1.0,False,False,0.07890590774503807
D631-7,16,0.5333333333333333,8,1,0.5101333333333333,0.07748536779432759,0.6666666666666666,0.6666666666666666,0.564,False,False,0.13324368688202626
DDO064,14,0.07692307692307693,1,3,0.0,0.0,0.0,0.0,0.0,True,True,0.09438491928611079
DDO154,12,0.36363636363636365,4,1,0.46236363636363625,0.09580472563785908,0.6363636363636364,0.6363636363636364,0.938,False,False,0.07043317034328003
DDO161,31,0.23333333333333334,7,6,0.4714666666666667,0.05561039071572466,0.5666666666666667,0.6,1.0,False,False,0.038643436825508075
DDO168,10,0.4444444444444444,4,1,0.5184444444444445,0.10601909914122101,0.6666666666666666,0.7777777777777778,0.892,False,False,0.08396034392343242
DDO170,8,0.14285714285714285,1,1,0.32657142857142857,0.11537021155517446,0.5714285714285714,0.5714285714285714,0.994,False,False,0.043776090706184496
ESO079-G014,15,0.35714285714285715,5,2,0.5042857142857142,0.08069848138570629,0.6428571428571429,0.7142857142857143,0.99,False,False,0.0744210365816269
ESO116-G012,15,0.14285714285714285,2,3,0.43842857142857145,0.08412078294006171,0.5714285714285714,0.5721428571428565,1.0,False,False,0.04772949518591289
ESO444-G084,7,0.16666666666666666,1,1,0.30066666666666664,0.10770123284139117,0.5,0.5,1.0,False,False,0.02601875269386959
ESO563-G021,30,0.10344827586206896,3,1,0.48524137931034483,0.054158968019014736,0.5862068965517241,0.5865517241379307,1.0,False,False,0.2221723327511249
F561-1,6,0.2,1,1,0.4692,0.1483622593518985,0.6,0.8,0.998,False,False,0.09027006355183124
F563-1,17,0.3125,5,3,0.47075,0.07917977961575796,0.625,0.6875,0.992,False,False,0.16007942088235932
F563-V1,6,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.0866398360751414
F563-V2,10,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.08643157167248504
F565-V2,7,0.16666666666666666,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.059261599010449646
F567-2,5,0.25,1,0,0.506,0.17237749273034458,0.75,0.75,0.996,False,False,0.08875469646751959
F568-1,12,0.2727272727272727,3,1,0.0,0.0,0.0,0.0,0.0,True,True,0.16715992769489346
F568-3,18,0.11764705882352941,2,1,0.0,0.0,0.0,0.0,0.0,True,True,0.1342704634628341
F568-V1,15,0.14285714285714285,2,1,0.4511428571428571,0.07941572352410538,0.5714285714285714,0.6428571428571429,1.0,False,False,0.11943434249538087
F571-8,13,0.25,3,3,0.5046666666666666,0.09252867423429104,0.6666666666666666,0.6666666666666666,1.0,False,False,0.13770668028367028
F571-V1,7,0.16666666666666666,1,1,0.396,0.1276523055456152,0.5083333333333258,0.6666666666666666,0.99,False,False,0.06612709701220747
F574-1,14,0.15384615384615385,2,1,0.48338461538461536,0.08673376252723143,0.6153846153846154,0.6923076923076923,1.0,False,False,0.11098187872683121
F574-2,5,0.25,1,0,0.0,0.0,0.0,0.0,0.0,True,True,0.07252248710322737
F579-V1,14,0.0,0,1,0.43723076923076926,0.08384770640764412,0.5384615384615384,0.6153846153846154,1.0,False,False,0.13195723783619712
F583-1,25,0.16666666666666666,4,2,0.0,0.0,0.0,0.0,0.0,True,True,0.18697337550387327
F583-4,12,0.2727272727272727,3,4,0.0,0.0,0.0,0.0,0.0,True,True,0.029632080224543778
IC2574,34,0.24242424242424243,8,11,0.0,0.0,0.0,0.0,0.0,True,True,0.08169625378333237
IC4202,32,0.2903225806451613,9,1,0.48032258064516126,0.052471686037213715,0.5499999999999985,0.6129032258064516,1.0,False,False,0.17327549188740857
KK98-251,15,0.07142857142857142,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.0468048337921445
NGC0024,29,0.21428571428571427,6,5,0.46164285714285713,0.056429972857823474,0.5714285714285714,0.6071428571428571,1.0,False,False,0.09630214646243647
NGC0055,21,0.2,4,1,0.46090000000000003,0.07089562750974139,0.6,0.6,1.0,False,False,0.052819991064900665
NGC0100,21,0.25,5,1,0.4977,0.06511305552652248,0.6,0.65,1.0,False,False,0.1621530560505118
NGC0247,26,0.04,1,3,0.45944000000000007,0.05608285299447595,0.56,0.6,1.0,False,False,0.049051068071378275
NGC0289,28,0.07407407407407407,2,0,0.24644444444444444,0.05600171465139033,0.3333333333333333,0.37037037037037035,1.0,False,False,0.04857480628583715
NGC0300,25,0.20833333333333334,5,5,0.41541666666666666,0.06451071185814372,0.5020833333333314,0.5833333333333334,1.0,False,False,0.05064026578088966
NGC0801,13,0.08333333333333333,1,1,0.21566666666666665,0.08309365532671888,0.3333333333333333,0.4166666666666667,0.998,False,False,0.0667168366240654
NGC0891,18,0.0,0,0,0.24941176470588236,0.07035254770694613,0.35294117647058826,0.4117647058823529,1.0,False,False,0.06124040206179924
NGC1003,36,0.08571428571428572,3,0,0.3726857142857143,0.05597422147192183,0.45714285714285713,0.4857142857142857,1.0,False,False,0.03557283236807696
