galaxy,n_pts,V_flat,e_Vflat,V_max,M_b,M_gas,M_star,f_gas,SB,D
CamB,9,17.2,1.2832251036613445,20.1,55963074.81301767,19325648.415607538,36637426.397410125,0.3453285667411571,9.63,3.36
D564-8,6,23.633333333333336,0.7458527309705965,25.0,50774957.2245975,26993988.24144369,23780968.983153805,0.531639802709015,0.855,8.79
D631-7,16,57.833333333333336,0.2880329199292387,58.5,758224419.1926514,554480860.8313448,203743558.36130652,0.7312885826359294,0.275,7.72
DDO064,14,46.53333333333333,0.15153535218873196,46.9,217092114.7604115,128674561.94920665,88417552.81120484,0.5927187272150131,9.13,6.8
DDO154,12,47.03333333333333,0.6537640303713628,48.2,362424185.54895425,295640543.586161,66783641.96279323,0.8157307248641869,0.015,4.04
DDO161,31,66.39999999999999,0.16996731711976007,67.5,2763388256.0669885,2183100890.180137,580287365.8868513,0.790008745744346,0.36,7.5
DDO168,10,53.93333333333334,0.7906865277625418,55.0,530389627.7048224,413808282.3535317,116581345.35129073,0.7801967850393717,3.48,4.25
DDO170,8,60.4,0.7717224601860158,62.2,1958648764.853656,1488963954.3881195,469684810.4655366,0.7601995728414176,0.69,15.4
ESO079-G014,15,176.66666666666666,0.7200822998230956,178.0,21407648137.1134,1803720898.5477455,19603927238.565655,0.08425591111153972,89.82,28.7
ESO116-G012,15,111.0,0.47140452079103173,112.0,4684303297.467136,1231965091.014566,3452338206.45257,0.26299857476792876,24.2,13.0
ESO444-G084,7,61.26666666666667,1.3369395675973572,63.1,325301756.0742336,250938353.50641164,74363402.56782196,0.7714017794885427,1.03,4.83
ESO563-G021,30,315.6666666666667,1.905158688831361,321.0,264192375175.6998,12640538261.765293,251551836913.9345,0.04784596169120614,83.47999999999999,60.8
F561-1,6,50.0,0.32659863237108927,50.4,2844988045.291498,881217250.174674,1963770795.1168242,0.3097437444888751,12.629999999999999,66.4
F563-1,17,109.83333333333333,1.6043921197992947,112.5,4256390090.489994,2621020119.1643286,1635369971.3256657,0.6157847526758521,1.68,48.9
F563-V1,6,28.46666666666667,0.5213941425177806,29.5,806668319.2474633,404261682.08976644,402406637.1576969,0.5011498188833051,5.4,54.0
F563-V2,10,117.66666666666667,0.2721655269759087,118.0,2990824502.9257307,1534703227.177421,1456121275.7483094,0.5131371719323952,21.994999999999997,59.7
F565-V2,7,78.36666666666666,2.2633963336019955,83.1,1070872745.8640983,731504271.8800184,339368473.98407996,0.6830916882563484,1.6,51.8
F567-2,5,49.300000000000004,1.189771219838317,52.2,1396534213.6282759,301875157.0985716,1094659056.5297043,0.2161602301989313,5.0,79.0
F568-1,12,135.0,2.943920288775949,142.0,4521968988.796748,1818228539.5175078,2703740449.27924,0.40208779494556435,14.905,90.7
F568-3,18,114.66666666666667,3.2087842395985895,120.0,5645856054.871075,1758189366.5600247,3887666688.31105,0.31141236146874696,20.325,82.4
F568-V1,15,114.0,1.699673171197595,118.0,4632781043.838949,1325183232.0496025,3307597811.789346,0.28604486581811145,9.36,80.6
F571-8,13,139.66666666666666,2.1256807188565547,144.0,13492601027.284204,249835267.51210567,13242765759.772099,0.0185164644687039,8.51,53.3
