galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
CamB,9,17.2,20.1,66114390.42691669,19866543.816703934,46247846.61021276,0.3004874383386254,2.8768885775671266e-12,7.31451244821354e-12,3.36
D564-8,6,23.633333333333336,25.0,56247561.96478938,35366891.28944342,20880670.675345965,0.628771986803319,8.320703710580878e-13,6.597629772474668e-12,8.79
D631-7,16,57.833333333333336,58.5,555932301.8936907,453345472.08489263,102586829.80879806,0.8154688449306631,1.499330010935184e-12,1.4798805184289696e-11,7.72
DDO064,14,46.53333333333333,46.9,443035531.34652543,340455883.7397697,102579647.60675575,0.7684618041921295,6.955672660179792e-12,2.3920801149620032e-11,6.8
DDO154,12,47.03333333333333,48.2,363557662.65797615,336595571.5925779,26962091.06539829,0.925838198902815,1.446315348306793e-12,1.1333065168094497e-11,4.04
DDO161,31,66.39999999999999,67.5,2690494818.7290373,2403513571.451254,286981247.2777832,0.8933351421901825,2.098468484765382e-12,1.0590532838660368e-11,7.5
DDO168,10,53.93333333333334,55.0,623527296.2170382,495212194.39325684,128315101.82378136,0.7942109309371482,5.121464233226179e-12,2.1269426049572236e-11,4.25
DDO170,8,60.4,62.2,2099804110.703053,1776949004.7628498,322855105.9402031,0.8462451310126708,1.925687157836448e-12,1.0168666223474263e-11,15.4
ESO079-G014,15,176.66666666666666,178.0,36252535154.53122,6352495222.323526,29900039932.20769,0.17522899282064486,1.818864256445143e-11,6.159574385152135e-11,28.7
ESO116-G012,15,111.0,112.0,5069813669.620594,2609037162.7635083,2460776506.857085,0.5146219038378897,7.2706171062864696e-12,4.122924954943306e-11,13.0
ESO444-G084,7,61.26666666666667,63.1,253038398.3294332,215492350.3742062,37546047.95522702,0.8516191684617548,1.7895902108155402e-12,2.8694483445431367e-11,4.83
ESO563-G021,30,315.6666666666667,321.0,210307212516.05975,38150643598.86826,172156568917.1915,0.181404351959422,1.630236933478777e-11,7.438531647424084e-11,60.8
F561-1,6,50.0,50.4,4666588185.576746,1922378779.1961017,2744209406.380645,0.41194523766585883,6.972336358776755e-12,8.521778583113408e-12,66.4
F563-1,17,109.83333333333333,112.5,6972867038.446751,5835019899.582401,1137847138.864349,0.8368178924694064,2.4063144271512777e-12,1.811598584192819e-11,48.9
F563-V1,6,28.46666666666667,29.5,1242054505.2210584,744217233.4144301,497837271.8066283,0.5991824274104427,2.795917133669727e-12,3.0689998076547644e-12,54.0
F563-V2,10,117.66666666666667,118.0,5547403731.023522,3810587828.5416827,1736815902.4818397,0.6869137371832519,7.055527950837333e-12,4.309864659292415e-11,59.7
F565-V2,7,78.36666666666666,83.1,1860209863.3209777,1503331996.759337,356877866.5616406,0.8081518254480614,3.3491122538866965e-12,2.5431130994293316e-11,51.8
F567-2,5,49.300000000000004,52.2,2525047611.9419394,1307615556.0140955,1217432055.927844,0.5178577820987886,3.827943005818863e-12,9.208071827042455e-12,79.0
F568-1,12,135.0,142.0,10749995888.540043,6912146727.560225,3837849160.979819,0.6429906391805107,8.562916627259517e-12,4.939274287743493e-11,90.7
F568-3,18,114.66666666666667,120.0,11367805831.627365,6356705554.493048,5011100277.134318,0.5591849164776814,4.902644218767523e-12,2.5954884714710574e-11,82.4
F568-V1,15,114.0,118.0,7567369599.036636,5319784383.936343,2247585215.1002936,0.7029898981825307,3.3944813514175718e-12,2.5595169020301527e-11,80.6
F571-8,13,139.66666666666666,144.0,6012587265.939455,459898281.1124701,5552688984.826985,0.07648924843348812,3.4668393055112542e-12,4.3215634155981636e-11,53.3
F571-V1,7,83.56666666666668,84.3,3735965991.720521,2620098545.138667,1115867446.5818536,0.7013175577468347,2.820311683439545e-12,1.678613704371489e-11,80.1
F574-1,14,99.33333333333333,99.7,6328225102.821297,2639399406.226477,3688825696.59482,0.41708367881062897,5.557429149620549e-12,2.5566193464887442e-11,96.8
F574-2,5,35.333333333333336,40.0,3657995445.933344,1997631346.7313645,1660364099.2019794,0.5461000092146548,4.348298532913166e-12,4.787820120760194e-12,89.1
F579-V1,14,114.0,114.0,10966848752.622337,3846736801.175566,7120111951.446772,0.3507604497833303,6.652985197784007e-12,2.778157101064464e-11,89.5
F583-1,25,85.80000000000001,86.9,6463829891.935658,5911894981.15947,551934910.7761885,0.914611782796947,3.408646324367122e-12,1.4672372150691074e-11,35.4
F583-4,12,67.16666666666667,69.9,1555598277.9931235,398221800.6161001,1157376477.3770235,0.25599269827544796,4.081083708720874e-12,2.1720665259138438e-11,53.3
IC2574,34,66.60000000000001,67.5,2438484401.8024597,1755367706.0827127,683116695.7197473,0.7198601331159608,3.2486417416119148e-12,1.443371784916078e-11,3.91
IC4202,32,242.66666666666666,250.0,131931614348.57968,21788564223.56643,110143050125.01326,0.1651504404850102,2.742094730668798e-11,7.633794100398113e-11,100.4
KK98-251,15,34.03333333333334,34.6,276908944.47376233,220523599.93901253,56385344.53474978,0.7963758641241998,3.940772962695795e-12,1.2110279708282285e-11,6.8
NGC0024,29,108.33333333333333,110.0,3203974193.580353,1103041424.6626978,2100932768.9176548,0.34427288049723004,3.5170155060816788e-12,3.479427196565984e-11,7.3
NGC0055,21,86.66666666666667,87.4,7159662993.421176,3544736744.609549,3614926248.811627,0.4950982675953761,5.477194321715824e-12,1.7961588642471425e-11,2.11
NGC0100,21,90.2,91.2,2845784825.2905326,1046167693.759469,1799617131.5310636,0.36762009708610466,4.287311322830005e-12,2.8019533739467633e-11,13.5
NGC0247,26,107.0,108.0,7857923316.356211,3602831668.354741,4255091648.00147,0.4584966693242568,5.182175049934162e-12,2.551816541664284e-11,3.7
NGC0289,28,163.0,194.0,83234623576.74925,46857707310.95388,36376916265.79537,0.5629593226639293,2.294318091221842e-12,1.2405733286968774e-11,20.8
NGC0300,25,92.93333333333334,97.0,2994584419.4685926,1296326145.9878817,1698258273.4807107,0.43289016584742757,2.9985110375197115e-12,2.400974313989683e-11,2.08
NGC0801,13,215.33333333333334,238.0,236232442014.5316,62213121788.73331,174019320225.79828,0.26335553769920533,9.204068195122362e-12,2.527594450070892e-11,80.7
NGC0891,18,211.33333333333334,234.0,87584942225.40356,8067889975.354028,79517052250.04953,0.09211503450662753,4.171214605516023e-11,8.19450944002222e-11,9.91
NGC1003,36,113.33333333333333,115.0,13307958012.392374,9858222696.92153,3449735315.4708447,0.7407765103963772,2.0289948937520805e-12,1.4172947988613802e-11,11.4
NGC1090,24,161.33333333333334,176.0,58667030808.65372,19299683326.8473,39367347481.80642,0.3289698329849768,9.03405726259232e-12,2.7571733816062695e-11,37.0
NGC1705,14,71.53333333333333,73.2,549118593.8390138,285590470.30064607,263528123.5383677,0.5200888724310312,2.1266535956184983e-12,2.7612589255814455e-11,5.73
NGC2366,26,49.46666666666667,53.7,1091337529.8240302,965439586.1384867,125897943.68554339,0.884638858057192,4.1433054168430094e-12,1.305051268648918e-11,3.27
NGC2403,73,135.0,136.0,12837026499.980198,7711309142.438175,5125717357.542022,0.6007083604953274,4.109156153633809e-12,2.788261147271944e-11,3.16
NGC2683,11,155.33333333333334,212.0,43995722846.14187,1975960461.4761798,42019762384.66569,0.04491255816812789,5.117872193168064e-12,2.134386820462338e-11,9.81
NGC2841,50,290.0,323.0,174327658479.04077,69877289808.32251,104450368670.71828,0.4008388021612978,6.00121326684332e-12,4.401602192160439e-11,14.1
NGC2903,34,179.66666666666666,216.0,46998868566.89796,5525220547.122956,41473648019.775,0.11756071402566606,1.05179559291496e-11,4.2067502449263474e-11,6.6
NGC2915,30,85.96666666666665,86.5,1249207130.858199,924172538.3018644,325034592.55633444,0.7398072869364447,1.7278265167931184e-12,2.415153851328329e-11,4.06
NGC2955,24,243.0,276.0,227920010038.63586,49885968363.13401,178034041675.50186,0.2188748954279073,2.5314727480477235e-11,4.713319298473613e-11,97.9
